dist_o1,vel1,mu_l,action,shift_obstacle
98.34,33.02,0.63,1.0,0.0
96.7,32.72,0.63,1.0,0.0
95.07,32.41,0.63,1.0,0.0
93.46,32.1,0.63,1.0,0.0
91.86,31.79,0.63,1.0,0.0
90.28,31.48,0.63,1.0,0.0
88.71,31.17,0.63,1.0,0.0
87.16,30.86,0.63,1.0,0.0
85.63,30.56,0.63,1.0,0.0
84.11,30.25,0.63,1.0,0.0
82.6,29.94,0.63,1.0,0.0
81.11,29.63,0.63,1.0,0.0
79.64,29.32,0.63,1.0,0.0
78.18,29.01,0.63,1.0,0.0
76.74,28.7,0.63,1.0,0.0
75.31,28.39,0.63,1.0,0.0
73.9,28.09,0.63,1.0,0.0
72.5,27.78,0.63,1.0,0.0
71.12,27.47,0.63,1.0,0.0
69.75,27.16,0.63,1.0,0.0
68.4,26.85,0.63,1.0,0.0
67.07,26.54,0.63,1.0,0.0
65.75,26.23,0.63,1.0,0.0
64.45,25.92,0.63,1.0,0.0
63.16,25.62,0.63,1.0,0.0
61.88,25.31,0.63,1.0,0.0
60.63,25.0,0.63,1.0,0.0
59.38,24.69,0.63,1.0,0.0
58.16,24.38,0.63,1.0,0.0
56.95,24.07,0.63,1.0,0.0
55.75,23.76,0.63,1.0,0.0
54.57,23.45,0.63,1.0,0.0
53.4,23.15,0.63,1.0,0.0
52.25,22.84,0.63,1.0,0.0
51.12,22.53,0.63,1.0,0.0
50.0,22.22,0.63,1.0,0.0
48.9,21.91,0.63,1.0,0.0
47.81,21.6,0.63,1.0,0.0
46.74,21.29,0.63,1.0,0.0
45.68,20.99,0.63,1.0,0.0
44.64,20.68,0.63,1.0,0.0
43.61,20.37,0.63,1.0,0.0
42.6,20.06,0.63,1.0,0.0
41.61,19.75,0.63,1.0,0.0
40.63,19.44,0.63,1.0,0.0
39.66,19.13,0.63,1.0,0.0
38.71,18.82,0.63,1.0,0.0
37.78,18.52,0.63,1.0,0.0
36.86,18.21,0.63,1.0,0.0
35.96,17.9,0.63,1.0,0.0
35.07,17.59,0.63,1.0,0.0
34.2,17.28,0.63,1.0,0.0
33.35,16.97,0.63,1.0,0.0
32.5,16.66,0.63,1.0,0.0
31.68,16.35,0.63,1.0,0.0
30.87,16.05,0.63,1.0,0.0
30.07,15.74,0.63,1.0,0.0
29.3,15.43,0.63,1.0,0.0
28.53,15.12,0.63,1.0,0.0
27.78,14.81,0.63,1.0,0.0
27.05,14.5,0.63,1.0,0.0
26.33,14.19,0.63,1.0,0.0
25.63,13.89,0.63,1.0,0.0
24.94,13.58,0.63,1.0,0.0
24.27,13.27,0.63,1.0,0.0
23.62,12.96,0.63,1.0,0.0
22.98,12.65,0.63,1.0,0.0
22.36,12.21,0.9,0.79,0.0
21.75,11.9,0.63,1.0,0.0
21.17,11.59,0.63,1.0,0.0
20.59,11.28,0.63,1.0,0.0
20.04,10.97,0.63,1.0,0.0
19.5,10.67,0.63,1.0,0.0
18.97,10.36,0.63,1.0,0.0
18.46,10.05,0.63,1.0,0.0
17.97,9.74,0.63,1.0,0.0
17.49,9.3,0.9,0.79,0.0
17.03,8.99,0.63,0.98,0.0
16.59,8.68,0.63,0.98,0.0
16.16,8.37,0.63,0.97,0.0
15.76,7.93,0.9,0.79,0.0
15.37,7.62,0.63,0.84,0.0
14.99,7.31,0.63,0.9,0.0
14.64,7.01,0.63,0.85,0.0
14.3,6.56,0.9,0.8,0.0
13.98,6.19,0.76,0.44,0.0
13.68,5.82,0.76,0.44,0.0
13.39,5.52,0.62,0.32,0.0
