Episode,Kick_Speed,friction,Rewards,Stop_Distance
0,76.25,0.9,-52.78,3.82
1,77.01,0.9,-53.92,3.79
2,75.18,0.9,-50.34,3.89
3,77.4,0.9,-91.84,2.96
4,69.73,0.9,-50.23,3.9
5,74.43,0.9,-50.22,3.9
6,72.55,0.9,-50.25,3.9
7,73.22,0.9,-50.25,3.9
8,77.82,0.9,-61.71,3.58
9,80.8,0.9,-1041.16,-3.48
10,72.29,0.9,-50.22,3.9
11,72.44,0.9,-50.23,3.9
12,72.38,0.9,-50.18,3.9
13,72.28,0.9,-50.2,3.9
14,76.03,0.9,-50.19,3.9
15,76.56,0.9,-56.1,3.73
16,72.98,0.9,-50.2,3.9
17,79.54,0.9,-1035.22,-1.07
18,75.42,0.9,-50.22,3.9
19,75.11,0.9,-50.21,3.9
20,75.63,0.9,-50.19,3.9
21,70.36,0.9,-50.25,3.9
22,77.05,0.9,-57.39,3.69
23,78.09,0.9,-394.18,0.69
24,74.59,0.9,-50.24,3.9
25,75.64,0.9,-50.2,3.9
26,75.61,0.9,-50.23,3.9
27,77.0,0.9,-62.46,3.56
28,79.4,0.9,-1033.73,-0.68
29,72.9,0.9,-50.22,3.9
30,75.82,0.9,-50.41,3.89
31,74.98,0.9,-50.18,3.9
32,75.7,0.9,-50.23,3.9
33,76.19,0.9,-51.82,3.85
34,73.58,0.9,-50.21,3.9
35,75.77,0.9,-50.18,3.9
36,78.89,0.9,-101.09,2.81
37,72.5,0.9,-50.23,3.9
38,78.74,0.9,-411.58,0.62
39,74.16,0.9,-50.23,3.9
40,71.82,0.9,-50.21,3.9
41,76.27,0.9,-53.38,3.8
42,72.77,0.9,-50.25,3.9
43,79.5,0.9,-1033.91,-0.45
44,71.39,0.9,-50.25,3.9
45,78.87,0.9,-1032.78,-0.22
46,75.71,0.9,-50.37,3.89
47,71.54,0.9,-50.19,3.9
48,75.69,0.9,-50.23,3.9
49,76.33,0.9,-52.52,3.83
50,83.18,0.9,-1055.26,-10.06
51,70.51,0.9,-50.18,3.9
52,80.46,0.9,-1035.61,-1.28
53,75.75,0.9,-50.28,3.9
54,73.88,0.9,-50.2,3.9
55,72.99,0.9,-50.2,3.9
