Episode,Kick_Speed,friction,Rewards,Stop_Distance
0,65.46,0.9,-1036.68,-6.15
1,39.78,0.9,-206.17,64.61
2,45.49,0.9,-108.3,45.77
3,58.09,0.9,-16.66,21.77
4,38.86,0.9,-199.59,64.09
5,30.66,0.9,-293.22,75.79
6,26.35,0.9,-284.02,80.26
7,34.52,0.9,-242.5,72.35
8,37.19,0.9,-198.58,64.01
9,25.06,0.9,-355.6,84.67
10,33.2,0.9,-253.57,73.12
11,28.39,0.9,-320.97,77.58
12,27.1,0.9,-320.23,82.53
13,46.63,0.9,-134.44,48.49
14,49.53,0.9,-45.72,32.66
15,36.2,0.9,-239.99,67.16
16,57.69,0.9,-22.03,18.11
17,33.54,0.9,-227.34,71.27
18,42.16,0.9,-121.2,52.16
19,25.71,0.9,-309.56,81.87
20,30.92,0.9,-295.78,75.96
21,42.8,0.9,-155.67,55.4
22,27.08,0.9,-334.27,83.39
23,21.92,0.9,-432.39,89.04
24,31.27,0.9,-288.68,75.49
25,21.53,0.9,-415.2,88.09
26,34.71,0.9,-225.11,71.11
27,37.74,0.9,-229.7,66.4
28,39.3,0.9,-155.38,60.46
29,48.42,0.9,-82.49,37.86
30,26.56,0.9,-342.61,83.89
31,22.35,0.9,-435.21,89.2
32,41.94,0.9,-134.13,53.41
33,50.95,0.9,-46.51,32.79
34,40.93,0.9,-172.57,61.91
35,39.0,0.9,-216.36,65.39
36,45.1,0.9,-125.5,52.58
37,38.83,0.9,-191.33,63.44
38,46.12,0.9,-135.48,48.59
39,37.31,0.9,-190.83,63.4
40,55.57,0.9,-49.42,28.31
41,30.05,0.9,-350.77,79.44
42,26.59,0.9,-295.15,80.97
43,36.7,0.9,-230.6,66.46
44,29.65,0.9,-315.11,77.21
45,30.65,0.9,-289.39,75.54
46,38.16,0.9,-208.8,64.81
47,39.16,0.9,-209.48,64.86
48,32.27,0.9,-298.59,76.14
49,30.78,0.9,-298.03,76.11
50,37.23,0.9,-252.57,68.07
51,43.87,0.9,-137.86,48.82
52,46.73,0.9,-109.08,50.94
53,33.06,0.9,-257.21,73.37
54,39.86,0.9,-209.36,59.95
55,28.29,0.9,-298.4,81.17
56,49.71,0.9,-62.36,40.31
57,44.85,0.9,-130.08,53.02
58,34.97,0.9,-259.22,68.54
59,39.23,0.9,-159.57,60.82
60,28.23,0.9,-291.22,80.72
61,51.47,0.9,-83.71,38.01
