Episode,Kick_Speed,friction,Rewards,Stop_Distance
9,80.8,0.9,-1041.16,-3.48
17,79.54,0.9,-1035.22,-1.07
28,79.4,0.9,-1033.73,-0.68
43,79.5,0.9,-1033.91,-0.45
45,78.87,0.9,-1032.78,-0.22
50,83.18,0.9,-1055.26,-10.06
52,80.46,0.9,-1035.61,-1.28
57,81.95,0.9,-1053.08,-8.72
63,81.39,0.9,-1047.15,-5.92
72,80.07,0.9,-1042.32,-3.54
77,82.99,0.9,-1054.92,-10.03
82,78.98,0.9,-1032.98,-0.25
93,80.14,0.9,-1036.27,-1.24
103,84.55,0.9,-1065.11,-10.11
107,82.71,0.9,-1056.89,-10.02
111,84.24,0.9,-1060.86,-10.19
112,81.15,0.9,-1044.25,-4.71
113,80.35,0.9,-1037.88,-1.94
125,79.06,0.9,-1034.36,-0.88
129,84.91,0.9,-1063.27,-10.12
134,81.07,0.9,-1045.34,-5.19
135,79.5,0.9,-1036.37,-1.41
149,79.82,0.9,-1040.66,-3.31
154,82.14,0.9,-1048.48,-6.56
157,81.81,0.9,-1052.83,-8.69
165,84.68,0.9,-1062.87,-10.06
172,79.4,0.9,-1033.73,-0.68
174,80.34,0.9,-1042.81,-3.83
175,79.14,0.9,-1033.27,-0.18
181,81.03,0.9,-1045.27,-5.0
184,80.25,0.9,-1041.42,-3.4
189,80.75,0.9,-1046.01,-5.5
204,81.9,0.9,-1049.28,-6.84
219,79.82,0.9,-1040.66,-3.31
231,82.36,0.9,-1052.58,-8.73
233,79.98,0.9,-1036.0,-1.13
237,84.28,0.9,-1062.16,-10.31
241,79.77,0.9,-1034.38,-0.66
249,80.74,0.9,-1043.53,-4.3
267,81.08,0.9,-1045.36,-4.98
270,79.1,0.9,-1034.44,-0.7
284,83.17,0.9,-1055.25,-10.06
294,82.56,0.9,-1052.93,-8.9
295,79.91,0.9,-1042.05,-3.49
296,80.02,0.9,-1039.76,-2.87
298,84.8,0.9,-1063.09,-10.11
323,81.76,0.9,-1050.27,-7.56
335,81.67,0.9,-1048.88,-6.9
341,80.75,0.9,-1046.01,-5.5
347,79.51,0.9,-1035.16,-1.02
350,81.61,0.9,-1048.77,-6.89
353,79.65,0.9,-1035.4,-0.94
354,81.81,0.9,-1046.65,-5.77
357,82.81,0.9,-1054.61,-9.89
361,84.09,0.9,-1061.82,-10.3
366,82.57,0.9,-1052.95,-9.1
369,79.69,0.9,-1034.24,-0.77
370,84.37,0.9,-1056.15,-10.04
371,80.58,0.9,-1041.99,-3.81
375,81.44,0.9,-1045.99,-5.18
380,81.82,0.9,-1046.67,-5.74
382,86.45,0.9,-1069.72,-10.2
383,81.25,0.9,-1045.67,-5.48
397,82.59,0.9,-1054.22,-9.29
398,79.35,0.9,-1033.64,-0.47
400,82.41,0.9,-1053.9,-9.19
410,81.37,0.9,-1044.64,-4.55
413,80.17,0.9,-1036.33,-1.61
425,79.99,0.9,-1037.25,-1.69
430,85.48,0.9,-1066.76,-10.24
436,86.78,0.9,-1070.31,-10.31
443,83.63,0.9,-1056.06,-10.07
448,81.61,0.9,-1050.0,-7.52
453,84.49,0.9,-1062.54,-10.29
457,80.45,0.9,-1040.53,-3.06
477,79.91,0.9,-1037.1,-1.73
484,81.62,0.9,-1050.03,-7.2
489,81.04,0.9,-1045.28,-5.3
505,82.79,0.9,-1052.09,-8.23
511,85.29,0.9,-1066.42,-10.44
528,81.14,0.9,-1040.53,-3.26
529,80.46,0.9,-1039.31,-2.37
534,83.23,0.9,-1059.06,-10.14
539,79.46,0.9,-1035.07,-0.89
540,79.34,0.9,-1039.79,-2.75
546,79.13,0.9,-1033.24,-0.13
549,82.18,0.9,-1051.02,-7.64
561,83.62,0.9,-1057.28,-10.09
562,80.98,0.9,-1045.18,-5.21
568,83.43,0.9,-1056.95,-10.13
579,82.17,0.9,-1051.0,-7.61
585,86.17,0.9,-1068.0,-10.21
604,80.4,0.9,-1042.92,-3.83
611,82.54,0.9,-1054.12,-9.25
613,86.05,0.9,-1066.55,-10.13
619,85.57,0.9,-1065.68,-10.14
622,81.03,0.9,-1046.51,-5.92
623,79.59,0.9,-1035.31,-1.01
624,81.26,0.9,-1048.16,-6.45
630,79.47,0.9,-1035.1,-0.91
