Episode,Kick_Speed,friction,Rewards,Stop_Distance
6483,79.06,0.9,-1034.36,-0.64
8181,84.45,0.9,-1064.94,-10.33
11150,79.4,0.9,-1034.96,-0.94
13893,85.83,0.9,-1068.62,-10.36
19313,80.17,0.9,-1036.33,-1.23
20960,78.63,0.9,-1034.83,-1.07
26103,80.93,0.9,-1045.09,-5.15
32878,79.41,0.9,-1033.75,-0.64
34929,79.4,0.9,-1033.73,-0.33
47456,79.64,0.9,-1036.63,-1.44
47460,79.11,0.9,-1034.44,-0.68
53618,81.6,0.9,-1048.75,-6.94
55022,80.84,0.9,-1043.7,-4.59
56786,79.61,0.9,-1034.09,-0.77
59712,80.84,0.9,-1041.23,-3.26
61616,86.07,0.9,-1066.58,-10.24
62888,80.08,0.9,-1038.64,-2.38
69951,79.88,0.9,-1039.52,-2.48
70430,81.67,0.9,-1046.42,-5.75
75186,81.79,0.9,-1050.32,-7.44
78532,83.47,0.9,-1054.55,-9.65
83333,83.03,0.9,-1055.0,-9.83
85159,80.06,0.9,-1046.01,-5.53
90180,80.08,0.9,-1037.41,-1.71
90195,80.16,0.9,-1042.49,-3.68
111588,83.47,0.9,-1055.79,-10.06
119861,79.44,0.9,-1035.04,-0.76
123820,81.29,0.9,-1049.44,-7.01
126778,81.74,0.9,-1051.47,-8.05
128065,81.36,0.9,-1050.8,-7.67
129131,82.4,0.9,-1052.64,-8.45
130435,79.43,0.9,-1035.02,-0.89
130791,81.25,0.9,-1046.89,-5.67
136792,78.92,0.9,-1034.11,-0.77
139767,79.83,0.9,-1032.02,-0.01
140226,79.31,0.9,-1034.8,-0.74
140289,79.46,0.9,-1032.6,-0.1
149398,81.68,0.9,-1047.66,-6.49
152986,78.84,0.9,-1032.73,-0.17
158171,78.72,0.9,-1033.76,-0.4
168591,80.44,0.9,-1042.98,-4.13
168978,80.83,0.9,-1041.2,-3.58
172675,82.74,0.9,-1054.49,-9.65
173555,79.01,0.9,-1034.28,-0.71
175991,79.28,0.9,-1035.98,-1.28
177604,79.09,0.9,-1033.17,-0.36
177613,83.77,0.9,-1058.78,-10.22
177986,82.35,0.9,-1055.02,-10.01
184478,79.47,0.9,-1035.09,-0.91
188766,81.09,0.9,-1044.14,-4.52
192284,79.99,0.9,-1045.89,-5.18
194711,79.64,0.9,-1037.85,-1.99
196236,80.8,0.9,-1037.45,-1.89
200844,79.75,0.9,-1038.06,-2.25
203465,79.48,0.9,-1036.34,-1.49
208013,81.08,0.9,-1044.12,-4.58
217662,79.79,0.9,-1038.13,-2.2
221160,79.37,0.9,-1038.62,-2.49
223027,80.12,0.9,-1039.95,-3.01
240133,80.28,0.9,-1039.0,-2.62
246328,80.88,0.9,-1047.47,-6.02
248350,83.64,0.9,-1056.07,-10.03
267207,83.52,0.9,-1055.86,-10.01
267255,79.74,0.9,-1034.34,-0.81
272119,83.1,0.9,-1058.83,-10.15
280063,79.35,0.9,-1034.87,-1.07
281169,79.98,0.9,-1035.99,-1.22
281220,78.74,0.9,-1032.55,-0.15
284186,79.08,0.9,-1034.39,-0.76
284840,83.26,0.9,-1057.88,-10.18
299116,79.42,0.9,-1033.77,-0.66
302402,84.25,0.9,-1059.63,-10.11
304080,78.78,0.9,-1035.1,-1.09
310102,79.87,0.9,-1038.27,-2.06
318182,80.17,0.9,-1041.27,-3.13
320660,79.1,0.9,-1035.66,-1.17
328374,82.15,0.9,-1050.96,-7.58
330841,79.89,0.9,-1038.3,-2.08
332017,79.55,0.9,-1035.23,-1.24
333009,79.93,0.9,-1043.31,-4.04
334162,83.58,0.9,-1058.44,-10.2
339802,80.93,0.9,-1046.33,-5.81
345882,79.61,0.9,-1032.86,-0.08
349131,79.4,0.9,-1032.49,-0.04
350076,80.2,0.9,-1040.09,-2.71
350574,80.01,0.9,-1039.76,-2.69
351058,87.31,0.9,-1074.95,-10.05
362854,84.65,0.9,-1065.29,-10.42
376625,80.4,0.9,-1042.92,-4.14
380325,84.52,0.9,-1062.59,-10.13
386213,80.06,0.9,-1039.83,-2.56
386404,79.69,0.9,-1033.01,-0.43
387500,79.17,0.9,-1037.03,-1.48
389492,79.4,0.9,-1036.19,-1.19
390250,79.15,0.9,-1035.76,-1.15
393942,81.47,0.9,-1048.52,-6.74
397237,81.09,0.9,-1041.67,-3.74
397560,79.2,0.9,-1037.08,-1.52
399024,81.35,0.9,-1049.55,-7.38
399156,80.16,0.9,-1042.49,-3.75
