Episode,Kick_Speed,friction,Rewards,Stop_Distance
0,61.04,0.9,-50.21,3.9
1,75.16,0.9,-50.17,3.9
2,47.76,0.9,-50.19,3.9
3,80.43,0.9,-1040.49,-2.89
4,64.51,0.9,-50.18,3.9
5,70.71,0.9,-50.23,3.9
6,48.76,0.9,-50.18,3.9
7,69.83,0.9,-50.24,3.9
8,54.01,0.9,-50.24,3.9
9,76.16,0.9,-50.41,3.89
10,44.98,0.9,-50.2,3.9
11,73.91,0.9,-50.2,3.9
12,53.62,0.9,-50.19,3.9
13,78.96,0.9,-408.33,0.63
14,53.11,0.9,-50.24,3.9
15,71.83,0.9,-50.22,3.9
16,47.8,0.9,-50.23,3.9
17,74.16,0.9,-50.23,3.9
18,52.32,0.9,-50.21,3.9
19,77.9,0.9,-88.81,3.01
20,48.35,0.9,-50.23,3.9
21,75.24,0.9,-50.2,3.9
22,52.98,0.9,-50.25,3.9
23,68.15,0.9,-50.23,3.9
24,52.82,0.9,-50.19,3.9
25,75.84,0.9,-50.39,3.89
26,48.22,0.9,-50.23,3.9
27,75.79,0.9,-50.19,3.9
28,59.1,0.9,-50.21,3.9
29,80.59,0.9,-1045.72,-5.12
30,55.26,0.9,-50.24,3.9
31,79.23,0.9,-526.04,0.24
32,54.82,0.9,-50.22,3.9
33,75.24,0.9,-50.21,3.9
34,50.43,0.9,-50.2,3.9
35,73.0,0.9,-50.25,3.9
36,48.59,0.9,-50.22,3.9
37,72.24,0.9,-50.18,3.9
38,51.81,0.9,-50.2,3.9
39,78.02,0.9,-212.04,1.65
40,50.92,0.9,-50.2,3.9
41,73.61,0.9,-50.24,3.9
42,56.47,0.9,-50.22,3.9
43,80.35,0.9,-1045.3,-5.05
44,84.22,0.9,-1064.52,-10.26
45,81.22,0.9,-1043.14,-3.92
46,57.4,0.9,-50.19,3.9
47,73.9,0.9,-50.19,3.9
48,92.19,0.9,-1091.04,-10.34
49,49.29,0.9,-50.19,3.9
50,72.73,0.9,-50.24,3.9
51,52.93,0.9,-50.21,3.9
52,73.61,0.9,-50.21,3.9
53,47.78,0.9,-50.24,3.9
54,81.22,0.9,-1043.14,-3.99
55,56.35,0.9,-50.19,3.9
56,75.23,0.9,-50.17,3.9
57,76.19,0.9,-50.35,3.89
58,78.31,0.9,-88.44,3.02
59,55.12,0.9,-50.21,3.9
60,73.3,0.9,-50.24,3.9
61,56.25,0.9,-50.22,3.9
62,69.56,0.9,-50.18,3.9
63,48.71,0.9,-50.25,3.9
64,74.77,0.9,-50.18,3.9
65,47.92,0.9,-50.2,3.9
66,74.42,0.9,-50.21,3.9
67,44.95,0.9,-50.21,3.9
68,74.75,0.9,-50.23,3.9
69,82.89,0.9,-1053.52,-9.32
70,52.21,0.9,-50.22,3.9
71,82.93,0.9,-1052.35,-8.56
72,55.47,0.9,-50.2,3.9
73,83.67,0.9,-1057.37,-10.05
74,74.19,0.9,-50.2,3.9
75,72.39,0.9,-50.24,3.9
76,54.25,0.9,-50.19,3.9
77,71.71,0.9,-50.19,3.9
78,49.56,0.9,-50.25,3.9
79,74.94,0.9,-50.22,3.9
80,85.21,0.9,-1066.28,-10.42
81,82.75,0.9,-1055.74,-10.02
82,79.49,0.9,-1033.9,-0.67
83,83.3,0.9,-1055.48,-10.03
84,83.54,0.9,-1059.62,-10.26
85,43.79,0.9,-50.25,3.9
86,76.5,0.9,-51.31,3.86
87,61.92,0.9,-50.19,3.9
88,71.43,0.9,-50.25,3.9
89,53.93,0.9,-50.22,3.9
90,73.4,0.9,-50.21,3.9
91,49.88,0.9,-50.25,3.9
92,77.15,0.9,-59.72,3.63
93,54.14,0.9,-50.19,3.9
94,71.53,0.9,-50.24,3.9
95,51.67,0.9,-50.23,3.9
96,76.11,0.9,-50.93,3.88
97,62.61,0.9,-50.18,3.9
98,71.56,0.9,-50.25,3.9
99,83.61,0.9,-1056.02,-10.07
100,72.71,0.9,-50.24,3.9
101,76.76,0.9,-50.84,3.88
102,54.36,0.9,-50.21,3.9
103,75.28,0.9,-50.18,3.9
104,52.32,0.9,-50.23,3.9
105,85.6,0.9,-1069.45,-10.02
106,47.26,0.9,-50.24,3.9
107,79.06,0.9,-325.32,0.99
108,60.35,0.9,-50.18,3.9
109,71.62,0.9,-50.23,3.9
110,57.51,0.9,-50.24,3.9
111,79.34,0.9,-1033.62,-0.63
112,86.01,0.9,-1070.18,-10.07
113,63.7,0.9,-50.23,3.9
114,81.66,0.9,-1048.86,-6.61
115,63.54,0.9,-50.21,3.9
116,78.97,0.9,-1037.9,-2.08
117,81.15,0.9,-1047.95,-6.14
118,78.8,0.9,-294.18,1.14
119,73.67,0.9,-50.18,3.9
120,51.47,0.9,-50.18,3.9
121,82.7,0.9,-1054.42,-9.51
122,49.0,0.9,-50.19,3.9
123,74.66,0.9,-50.23,3.9
124,51.26,0.9,-50.19,3.9
125,85.61,0.9,-1068.22,-10.37
126,81.13,0.9,-1047.91,-6.06
127,48.11,0.9,-50.21,3.9
128,71.87,0.9,-50.18,3.9
129,84.73,0.9,-1061.72,-10.06
130,53.96,0.9,-50.22,3.9
131,72.67,0.9,-50.21,3.9
132,83.48,0.9,-1057.04,-10.07
133,46.72,0.9,-50.19,3.9
134,76.52,0.9,-50.59,3.89
135,83.02,0.9,-1056.21,-10.05
136,52.68,0.9,-50.24,3.9
137,79.04,0.9,-226.77,1.55
138,54.51,0.9,-50.2,3.9
139,72.19,0.9,-50.21,3.9
140,61.64,0.9,-50.2,3.9
141,76.01,0.9,-54.28,3.78
142,78.29,0.9,-90.99,2.97
143,73.65,0.9,-50.19,3.9
144,51.21,0.9,-50.18,3.9
145,78.45,0.9,-297.45,1.13
146,49.02,0.9,-50.24,3.9
147,76.0,0.9,-50.83,3.88
148,82.51,0.9,-1051.61,-8.37
149,44.48,0.9,-50.21,3.9
150,74.24,0.9,-50.18,3.9
151,54.9,0.9,-50.25,3.9
152,72.68,0.9,-50.19,3.9
153,82.99,0.9,-1056.17,-10.08
154,82.74,0.9,-1055.73,-10.01
155,85.55,0.9,-1065.65,-10.14
156,80.62,0.9,-1045.77,-5.35
157,82.63,0.9,-1055.52,-10.07
158,48.72,0.9,-50.21,3.9
159,73.59,0.9,-50.24,3.9
160,79.9,0.9,-1038.33,-2.07
161,54.39,0.9,-50.24,3.9
162,76.04,0.9,-50.39,3.89
163,79.42,0.9,-1035.01,-1.09
