Episode,Kick_Speed,friction,Rewards,Stop_Distance,
3,80.43,0.9,-1040.49,-2.89,3
29,80.59,0.9,-1045.72,-5.12,26
43,80.35,0.9,-1045.3,-5.05,14
44,84.22,0.9,-1064.52,-10.26,1
45,81.22,0.9,-1043.14,-3.92,1
48,92.19,0.9,-1091.04,-10.34,3
54,81.22,0.9,-1043.14,-3.99,6
69,82.89,0.9,-1053.52,-9.32,15
71,82.93,0.9,-1052.35,-8.56,2
73,83.67,0.9,-1057.37,-10.05,2
80,85.21,0.9,-1066.28,-10.42,7
81,82.75,0.9,-1055.74,-10.02,1
82,79.49,0.9,-1033.9,-0.67,1
83,83.3,0.9,-1055.48,-10.03,1
84,83.54,0.9,-1059.62,-10.26,1
99,83.61,0.9,-1056.02,-10.07,15
105,85.6,0.9,-1069.45,-10.02,6
111,79.34,0.9,-1033.62,-0.63,6
112,86.01,0.9,-1070.18,-10.07,1
114,81.66,0.9,-1048.86,-6.61,2
116,78.97,0.9,-1037.9,-2.08,2
117,81.15,0.9,-1047.95,-6.14,1
121,82.7,0.9,-1054.42,-9.51,4
125,85.61,0.9,-1068.22,-10.37,4
126,81.13,0.9,-1047.91,-6.06,1
129,84.73,0.9,-1061.72,-10.06,3
132,83.48,0.9,-1057.04,-10.07,3
135,83.02,0.9,-1056.21,-10.05,3
148,82.51,0.9,-1051.61,-8.37,13
153,82.99,0.9,-1056.17,-10.08,5
154,82.74,0.9,-1055.73,-10.01,1
155,85.55,0.9,-1065.65,-10.14,1
156,80.62,0.9,-1045.77,-5.35,1
157,82.63,0.9,-1055.52,-10.07,1
160,79.9,0.9,-1038.33,-2.07,3
163,79.42,0.9,-1035.01,-1.09,3
164,83.59,0.9,-1058.46,-10.08,1
166,83.61,0.9,-1058.51,-10.13,2
168,79.65,0.9,-1034.17,-0.6,2
177,83.19,0.9,-1056.52,-10.03,9
179,78.82,0.9,-1032.7,-0.07,2
180,81.34,0.9,-1047.06,-5.89,1
181,80.86,0.9,-1043.74,-4.46,1
182,81.62,0.9,-1047.55,-6.32,1
187,81.17,0.9,-1047.99,-6.14,5
188,83.65,0.9,-1056.1,-10.11,1
190,80.01,0.9,-1038.51,-2.33,2
191,82.19,0.9,-1054.74,-9.54,1
196,79.21,0.9,-1037.1,-1.74,5
198,78.58,0.9,-1032.26,-0.01,2
207,81.32,0.9,-1048.25,-6.25,9
208,81.46,0.9,-1048.51,-6.79,1
209,82.31,0.9,-1053.72,-9.1,1
210,80.82,0.9,-1043.66,-4.34,1
214,80.41,0.9,-1042.94,-4.25,4
215,82.41,0.9,-1051.43,-8.34,1
218,79.2,0.9,-1033.37,-0.23,3
219,83.29,0.9,-1056.69,-10.13,1
222,80.54,0.9,-1038.22,-2.02,3
225,81.91,0.9,-1046.84,-5.94,3
227,81.03,0.9,-1040.34,-2.93,2
232,83.38,0.9,-1055.62,-9.97,5
233,85.77,0.9,-1067.28,-10.27,1
238,80.47,0.9,-1039.34,-2.68,5
245,81.35,0.9,-1048.32,-6.66,7
248,82.95,0.9,-1056.08,-10.03,3
249,81.25,0.9,-1045.67,-5.56,1
254,80.32,0.9,-1042.77,-3.95,5
257,80.24,0.9,-1038.93,-2.22,3
262,81.52,0.9,-1051.07,-7.68,5
266,85.6,0.9,-1068.2,-10.37,4
271,81.38,0.9,-1047.13,-5.87,5
273,85.5,0.9,-1068.04,-10.13,2
274,80.69,0.9,-1040.95,-3.44,1
277,79.87,0.9,-1041.96,-3.74,3
278,85.92,0.9,-1071.26,-10.24,1
279,82.29,0.9,-1052.46,-8.79,1
284,79.48,0.9,-1036.34,-1.56,5
285,80.19,0.9,-1040.07,-2.83,1
286,79.61,0.9,-1032.86,-0.21,1
287,79.25,0.9,-1034.69,-0.65,1
292,79.96,0.9,-1042.13,-3.64,5
293,83.11,0.9,-1057.61,-10.18,1
296,84.52,0.9,-1062.58,-10.36,3
297,84.8,0.9,-1061.84,-10.28,1
300,85.29,0.9,-1068.89,-10.35,3
303,80.48,0.9,-1039.34,-2.55,3
304,79.5,0.9,-1037.61,-1.69,1
305,81.8,0.9,-1047.88,-6.24,1
306,81.29,0.9,-1044.49,-4.72,1
313,81.62,0.9,-1048.79,-6.63,7
317,80.77,0.9,-1044.81,-4.77,4
320,80.49,0.9,-1044.31,-4.69,3
321,82.63,0.9,-1053.05,-8.99,1
322,81.55,0.9,-1049.9,-7.34,1
323,78.73,0.9,-1033.77,-0.55,1
328,81.88,0.9,-1046.78,-5.89,5
333,80.7,0.9,-1043.44,-4.29,5
335,83.67,0.9,-1056.13,-10.07,2
342,82.32,0.9,-1052.51,-8.66,7
,,,,AVERAGE,3.42
,,,,MAX,26
,,,,MIN,1
