Episode,Kick_Speed,friction,Rewards,Stop_Distance,
12,82.31,0.9,-1053.71,-9.11,12
14,80.83,0.9,-1039.97,-2.75,2
28,80.09,0.9,-1037.42,-1.93,14
31,81.95,0.9,-1053.08,-8.72,3
32,79.83,0.9,-1039.44,-2.59,1
39,81.01,0.9,-1045.24,-5.11,7
47,79.47,0.9,-1032.62,-0.02,8
50,79.29,0.9,-1034.77,-0.97,3
56,82.79,0.9,-1054.56,-9.57,6
60,80.56,0.9,-1039.49,-2.57,4
69,79.65,0.9,-1036.64,-1.51,9
78,80.55,0.9,-1043.18,-4.05,9
84,80.25,0.9,-1036.47,-1.62,6
92,84.97,0.9,-1063.39,-10.01,8
93,80.4,0.9,-1044.14,-4.63,1
97,83.76,0.9,-1058.77,-10.21,4
99,81.09,0.9,-1042.91,-4.09,2
103,78.6,0.9,-1032.31,-0.18,4
104,79.34,0.9,-1039.8,-2.78,1
112,79.92,0.9,-1043.3,-4.25,8
121,83.28,0.9,-1056.68,-10.13,9
122,78.97,0.9,-1036.66,-1.79,1
129,84.28,0.9,-1058.46,-10.17,7
133,79.75,0.9,-1034.34,-0.76,4
135,86.8,0.9,-1070.35,-10.3,2
138,83.58,0.9,-1057.21,-10.03,3
139,79.48,0.9,-1036.33,-1.51,1
141,79.55,0.9,-1038.93,-2.2,2
143,80.45,0.9,-1039.29,-2.81,2
153,80.22,0.9,-1036.43,-1.61,10
158,83.18,0.9,-1058.96,-10.21,5
162,83.06,0.9,-1053.81,-9.15,4
167,79.64,0.9,-1035.39,-1.04,5
174,82.75,0.9,-1053.26,-9.14,7
177,80.76,0.9,-1046.03,-5.59,3
181,80.16,0.9,-1035.07,-1,4
215,79.57,0.9,-1038.97,-2.61,34
218,81.85,0.9,-1047.97,-6.49,3
219,84.11,0.9,-1061.85,-10.04,1
223,78.85,0.9,-1035.23,-0.91,4
233,81.62,0.9,-1050.03,-7.2,10
238,82.31,0.9,-1053.72,-9.5,5
240,79.07,0.9,-1035.62,-1.4,2
248,80.27,0.9,-1043.92,-4.59,8
271,79.08,0.9,-1033.16,-0.2,23
273,78.96,0.9,-1032.95,-0.19,2
274,85.81,0.9,-1064.89,-10.05,1
275,81.44,0.9,-1050.93,-7.8,1
277,79.31,0.9,-1038.51,-2.22,2
282,81.98,0.9,-1048.19,-6.49,5
285,80.33,0.9,-1044.02,-4.63,3
286,79.94,0.9,-1040.86,-3.26,1
291,82.03,0.9,-1051.99,-8.63,5
296,80.87,0.9,-1044.98,-5.06,5
300,80.26,0.9,-1042.67,-3.76,4
301,84.3,0.9,-1059.73,-10.03,1
303,82.27,0.9,-1056.11,-10.03,2
304,83.74,0.9,-1056.27,-10.1,1
328,79.99,0.9,-1039.72,-2.57,24
329,81.08,0.9,-1041.65,-3.68,1
332,81.38,0.9,-1047.12,-6.19,3
333,81.65,0.9,-1051.32,-8.14,1
337,81.19,0.9,-1050.49,-7.34,4
339,81.75,0.9,-1046.55,-5.54,2
340,80.84,0.9,-1044.93,-4.92,1
348,80.95,0.9,-1046.37,-5.61,8
352,82.5,0.9,-1054.06,-9.69,4
373,83,0.9,-1057.41,-10.07,21
399,82.29,0.9,-1051.22,-8.24,26
401,81.03,0.9,-1040.32,-2.82,2
414,87.32,0.9,-1072.5,-10.35,13
424,80.61,0.9,-1040.82,-3.14,10
425,79.63,0.9,-1036.6,-1.38,1
440,81.07,0.9,-1045.34,-5.13,15
444,79.77,0.9,-1034.38,-0.66,4
448,79.62,0.9,-1035.35,-1.14,4
460,79.84,0.9,-1038.22,-2.09,12
461,80.24,0.9,-1040.16,-3.01,1
464,82.21,0.9,-1051.08,-8.14,3
467,79.37,0.9,-1032.44,-0.18,3
468,81.46,0.9,-1044.8,-4.91,1
477,85.13,0.9,-1066.13,-10.21,9
482,82.21,0.9,-1053.53,-9.24,5
484,82.33,0.9,-1048.81,-6.79,2
494,85.13,0.9,-1066.13,-10.21,10
499,82.21,0.9,-1053.53,-9.24,5
501,82.33,0.9,-1048.81,-6.79,2
511,85.13,0.9,-1066.13,-10.21,10
516,82.21,0.9,-1053.53,-9.24,5
518,82.33,0.9,-1048.81,-6.79,2
528,85.13,0.9,-1066.13,-10.21,10
533,82.21,0.9,-1053.53,-9.24,5
535,82.33,0.9,-1048.81,-6.79,2
545,85.13,0.9,-1066.13,-10.21,10
550,82.21,0.9,-1053.53,-9.24,5
552,82.33,0.9,-1048.81,-6.79,2
562,85.13,0.9,-1066.13,-10.21,10
567,82.21,0.9,-1053.53,-9.24,5
569,82.33,0.9,-1048.81,-6.79,2
579,85.13,0.9,-1066.13,-10.21,10
,,,,Average,5.79
,,,,Max,34
,,,,MIN,1
