Episode,Kick_Speed,friction,Rewards,Stop_Distance,
1402,80.55,0.9,-1041.94,-3.78,1402
28547,83.22,0.9,-1059.05,-10.24,27145
32487,79.68,0.9,-1037.93,-2.05,3940
63196,79.27,0.9,-1038.43,-2.01,30709
76983,81.4,0.9,-1048.4,-6.58,13787
78182,79.84,0.9,-1039.45,-2.68,1199
80700,89.38,0.9,-1079.87,-10.38,2518
82517,82.88,0.9,-1053.49,-8.92,1817
104461,78.84,0.9,-1035.2,-1.2,21944
104543,79.88,0.9,-1038.28,-2.19,82
113180,80.52,0.9,-1040.67,-3.22,8637
117028,80.75,0.9,-1042.31,-3.75,3848
125304,81.63,0.9,-1048.81,-7.03,8276
128185,82.76,0.9,-1053.28,-9.24,2881
149961,79.93,0.9,-1039.6,-2.84,21776
171956,79.43,0.9,-1036.25,-1.21,21995
174867,80.84,0.9,-1047.4,-6.05,2911
188120,80.49,0.9,-1039.37,-2.53,13253
201025,80.95,0.9,-1046.37,-5.6,12905
207869,84.17,0.9,-1060.73,-10.17,6844
216788,79.5,0.9,-1040.07,-2.72,8919
218380,80.47,0.9,-1038.1,-2.29,1592
252603,80.54,0.9,-1045.64,-5.47,34223
274236,84.09,0.9,-1059.35,-10.1,21633
275870,78.94,0.9,-1032.92,-0.07,1634
285730,80.35,0.9,-1040.35,-2.94,9860
299809,79.1,0.9,-1034.42,-0.93,14079
302452,78.78,0.9,-1032.62,-0.06,2643
302713,83.52,0.9,-1058.34,-10.22,261
304051,82.94,0.9,-1057.31,-10.09,1338
330873,79.3,0.9,-1037.26,-1.63,26822
339552,82.46,0.9,-1053.99,-9.39,8679
343002,80.08,0.9,-1043.58,-4.1,3450
361682,87.9,0.9,-1076.01,-10.33,18680
365913,81.54,0.9,-1049.87,-7.25,4231
373743,80.89,0.9,-1045.02,-4.84,7830
378504,81.18,0.9,-1046.77,-5.6,4761
386103,82.51,0.9,-1054.08,-9.34,7599
400462,83.42,0.9,-1056.93,-10,14359
409523,86.86,0.9,-1072.93,-10.1,9061
418406,81.52,0.9,-1047.37,-5.77,8883
419873,80.82,0.9,-1042.43,-3.74,1467
441983,83.52,0.9,-1058.34,-10.05,22110
457668,80.9,0.9,-1046.27,-5.6,15685
468222,81.78,0.9,-1047.84,-6.05,10554
470417,78.67,0.9,-1033.67,-0.3,2195
475467,81.05,0.9,-1044.08,-4.78,5050
482946,78.94,0.9,-1034.15,-0.51,7479
484863,83.59,0.9,-1059.7,-10,1917
498100,83.44,0.9,-1059.44,-10.18,13237
510733,80.55,0.9,-1041.95,-3.83,12633
532914,79.9,0.9,-1040.79,-3.23,22181
563958,78.92,0.9,-1034.11,-0.64,31044
567923,79.81,0.9,-1038.16,-1.98,3965
576605,81.52,0.9,-1043.68,-4.42,8682
584016,79.58,0.9,-1034.04,-0.56,7411
591315,86.01,0.9,-1070.18,-10.35,7299
612056,79.19,0.9,-1035.83,-1.24,20741
615751,79.22,0.9,-1035.88,-1.08,3695
631543,80.48,0.9,-1045.52,-5.41,15792
635094,84.94,0.9,-1067.05,-10.02,3551
656556,81.33,0.9,-1045.81,-5.48,21462
663106,83.95,0.9,-1061.57,-10.25,6550
672985,81.59,0.9,-1047.5,-6.34,9879
678184,81.34,0.9,-1047.06,-6.06,5199
693035,80.12,0.9,-1035,-1.07,14851
699923,86.09,0.9,-1069.09,-10.22,6888
704567,82.24,0.9,-1052.36,-8.33,4644
743926,81.16,0.9,-1046.73,-5.8,39359
746920,82.22,0.9,-1052.32,-8.32,2994
750318,83.82,0.9,-1060.1,-10.08,3398
761630,81.95,0.9,-1051.85,-8.25,11312
762094,80.46,0.9,-1039.32,-2.75,464
779207,82,0.9,-1050.71,-7.48,17113
805181,86.63,0.9,-1070.05,-10.4,25974
827639,79.15,0.9,-1034.52,-0.75,22458
828845,84.2,0.9,-1062.02,-10.24,1206
852640,84.03,0.9,-1059.25,-10.23,23795
856320,82.62,0.9,-1054.27,-9.3,3680
858031,85.88,0.9,-1067.47,-10.3,1711
872664,79.12,0.9,-1034.47,-0.64,14633
875281,86.08,0.9,-1065.36,-10.09,2617
922604,78.39,0.9,-1031.94,0,47323
928552,78.84,0.9,-1032.72,-0.2,5948
931835,86.59,0.9,-1071.21,-10.4,3283
935742,81.74,0.9,-1050.23,-7.48,3907
940404,79.8,0.9,-1036.92,-1.55,4662
973441,78.9,0.9,-1035.31,-1.14,33037
976026,80.86,0.9,-1046.2,-5.3,2585
984780,79.87,0.9,-1039.5,-2.72,8754
985008,78.49,0.9,-1032.12,-0.18,228
986443,79.84,0.9,-1038.21,-1.98,1435
1001844,86.43,0.9,-1070.93,-10.22,15401
1002315,79.09,0.9,-1033.18,-0.32,471
1005647,80.03,0.9,-1037.32,-1.59,3332
1006051,85.81,0.9,-1069.81,-10.42,404
1015017,79.29,0.9,-1034.76,-0.67,8966
1039260,79.63,0.9,-1035.37,-0.97,24243
1068651,79.98,0.9,-1038.46,-2.34,29391
1073835,80.24,0.9,-1033.98,-0.77,5184
,,,,Average,10738.35
,,,,Max,47323
,,,,Min,82
