Episode,Kick_Speed,friction_patch,default_friction,loc_patch,size_patch,Rewards,Stop_Distance
0,60.75,0.51,0.8,49.35,21.75,51.27,11.52
1,58.15,0.51,0.8,43.65,19.15,48.95,11.52
2,66.21,0.55,0.8,42.54,21.0,58.46,9.15
3,60.11,0.35,0.8,66.85,18.33,50.69,11.52
4,57.44,0.4,0.8,45.32,19.16,48.32,11.52
5,62.9,0.55,0.8,50.08,19.71,53.18,11.52
6,62.77,0.57,0.8,40.29,19.91,53.08,11.52
7,64.39,0.53,0.8,43.93,16.54,54.48,11.52
8,60.8,0.53,0.8,48.32,22.03,51.29,11.52
9,55.53,0.5,0.8,54.02,24.32,46.62,11.52
10,59.57,0.52,0.8,48.66,23.54,50.17,11.52
11,57.29,0.46,0.8,60.76,24.02,48.18,11.52
12,72.25,0.54,0.8,56.81,23.91,-1111.54,-0.42
13,71.33,0.31,0.8,51.56,10.76,-1111.72,-0.1
14,56.3,0.52,0.8,56.62,19.93,47.28,11.52
15,61.56,0.4,0.8,43.71,18.82,51.95,11.52
16,66.89,0.52,0.8,53.35,19.38,59.31,6.51
17,63.22,0.51,0.8,61.93,20.36,53.46,11.52
18,63.37,0.47,0.8,57.68,20.23,54.7,10.9
19,58.8,0.45,0.8,49.15,18.9,49.54,11.52
20,63.03,0.41,0.8,56.32,21.89,55.65,6.45
21,59.31,0.45,0.8,48.69,21.16,49.97,11.52
22,56.23,0.46,0.8,57.12,18.72,47.22,11.52
23,69.27,0.63,0.8,35.89,23.35,60.95,5.48
24,59.47,0.42,0.8,60.79,19.31,50.11,11.52
25,65.55,0.43,0.8,59.49,15.62,57.85,9.76
26,57.76,0.44,0.8,68.54,21.95,48.59,11.52
27,62.29,0.51,0.8,48.11,19.22,52.63,11.52
28,62.42,0.44,0.8,66.84,19.07,52.74,11.52
29,59.65,0.51,0.8,56.75,26.5,50.27,11.52
30,63.83,0.54,0.8,46.38,20.07,54.0,11.52
31,61.9,0.62,0.8,52.16,22.17,52.3,11.52
32,61.35,0.56,0.8,46.61,21.48,51.79,11.52
33,61.19,0.48,0.8,53.72,20.81,51.64,11.52
34,60.66,0.52,0.8,51.5,25.5,51.19,11.52
35,62.47,0.48,0.8,58.53,22.63,53.03,11.36
36,62.44,0.41,0.8,55.66,15.54,52.73,11.52
37,59.43,0.5,0.8,50.05,24.07,50.07,11.52
38,61.42,0.47,0.8,46.66,24.6,51.87,11.5
39,59.68,0.46,0.8,62.5,19.12,50.3,11.52
40,57.89,0.49,0.8,52.56,28.2,48.72,11.52
41,60.3,0.41,0.8,50.61,19.61,50.84,11.52
42,57.25,0.51,0.8,42.63,21.16,48.13,11.52
43,52.49,0.43,0.8,56.49,23.16,43.93,11.52
44,66.46,0.5,0.8,53.32,22.51,-100.95,2.86
45,58.97,0.38,0.8,46.22,18.81,49.68,11.52
46,56.85,0.39,0.8,70.98,17.99,47.79,11.52
47,52.02,0.32,0.8,60.86,21.07,43.5,11.52
48,65.95,0.55,0.8,46.6,18.3,56.67,10.92
49,60.86,0.5,0.8,46.37,20.56,51.37,11.52
50,66.51,0.54,0.8,43.2,20.53,58.97,6.84
51,53.03,0.4,0.8,61.37,19.67,44.41,11.52
52,62.02,0.51,0.8,55.52,23.53,52.39,11.52
53,56.01,0.52,0.8,53.6,26.33,47.01,11.52
54,54.76,0.43,0.8,52.63,20.34,45.96,11.52
55,55.87,0.5,0.8,51.64,23.03,46.9,11.52
56,61.55,0.44,0.8,37.33,15.74,51.99,11.52
57,61.37,0.41,0.8,47.01,16.98,51.78,11.52
58,66.67,0.59,0.8,44.51,19.96,57.67,10.75
59,55.92,0.39,0.8,52.45,21.21,46.98,11.52
60,57.4,0.51,0.8,65.92,23.47,48.27,11.52
61,56.4,0.47,0.8,67.61,22.1,47.38,11.52
62,62.01,0.44,0.8,64.46,18.79,52.35,11.52
63,55.27,0.49,0.8,52.01,22.11,46.36,11.52
64,59.98,0.52,0.8,44.89,25.94,50.57,11.52
65,57.27,0.43,0.8,61.24,20.22,48.15,11.52
66,61.07,0.51,0.8,51.53,16.6,51.53,11.52
67,57.83,0.44,0.8,57.6,23.01,48.63,11.52
68,56.11,0.47,0.8,41.58,21.13,47.12,11.52
69,65.31,0.53,0.8,62.07,20.76,56.79,10.7
70,62.4,0.41,0.8,51.76,18.16,52.73,11.52
71,58.43,0.44,0.8,42.99,17.14,49.17,11.52
72,54.54,0.46,0.8,53.18,18.36,45.75,11.52
73,59.76,0.43,0.8,64.04,25.41,50.37,11.52
74,60.69,0.47,0.8,54.65,17.25,51.21,11.52
75,69.24,0.46,0.8,58.2,15.77,-761.26,0.34
76,58.63,0.47,0.8,63.23,18.72,49.38,11.52
77,66.34,0.46,0.8,35.99,22.39,-168.17,2.33
78,60.58,0.42,0.8,55.82,18.65,51.13,11.52
79,68.17,0.44,0.8,46.61,20.14,-1175.14,-0.06
80,62.98,0.49,0.8,44.07,18.66,53.26,11.52
81,66.5,0.48,0.8,57.63,25.69,-1199.7,-0.05
82,63.86,0.47,0.8,42.59,17.93,54.25,11.36
83,55.76,0.39,0.8,50.1,23.07,46.8,11.52
84,55.26,0.44,0.8,54.95,21.69,46.38,11.52
85,51.84,0.35,0.8,62.73,23.1,43.34,11.52
86,60.59,0.56,0.8,51.97,23.41,51.11,11.52
87,55.19,0.42,0.8,51.82,22.82,46.29,11.52
88,58.3,0.52,0.8,54.56,23.01,49.09,11.52
89,57.7,0.45,0.8,52.9,22.4,48.52,11.52
90,55.79,0.55,0.8,54.61,24.02,46.87,11.52
91,60.5,0.53,0.8,51.37,20.41,51.03,11.52
92,53.88,0.46,0.8,64.23,22.73,45.12,11.52
93,57.01,0.55,0.8,56.06,20.66,47.9,11.52
94,61.36,0.52,0.8,54.3,18.5,51.8,11.52
95,60.99,0.46,0.8,63.81,23.84,53.13,10.3
96,59.29,0.39,0.8,56.66,19.32,49.94,11.52
97,61.31,0.63,0.8,53.69,23.79,51.75,11.52
98,63.01,0.51,0.8,37.03,23.21,53.84,11.23
99,54.6,0.48,0.8,63.55,23.62,45.8,11.52
100,51.58,0.42,0.8,60.92,22.67,43.08,11.52
101,72.04,0.57,0.8,32.86,21.79,-1113.67,-0.41
102,51.45,0.34,0.8,60.7,18.39,43.0,11.52
103,58.8,0.47,0.8,44.88,23.73,49.5,11.52
104,59.15,0.41,0.8,56.06,23.75,49.85,11.52
105,55.8,0.49,0.8,61.9,20.29,46.82,11.52
106,56.78,0.49,0.8,52.07,19.34,47.72,11.52
107,63.87,0.5,0.8,64.41,20.99,55.19,10.52
108,55.37,0.36,0.8,61.45,17.0,46.49,11.52
109,59.66,0.55,0.8,56.3,19.27,50.29,11.52
110,64.81,0.38,0.8,65.81,13.78,57.28,9.75
111,60.78,0.46,0.8,47.06,23.15,51.3,11.52
112,71.48,0.5,0.8,47.19,16.57,-1108.82,-0.11
