Episode,Kick_Speed,friction_patch,default_friction,loc_patch,size_patch,Rewards,Stop_Distance
0,64.45,0.74,0.8,74.76,10.43,54.55,11.52
1,64.88,0.54,0.8,82.28,22.27,56.59,10.61
2,65.17,0.39,0.8,54.38,15.13,57.66,6.61
3,58.96,0.49,0.8,82.07,24.61,49.63,11.52
4,66.47,0.48,0.8,53.98,29.24,-1129.34,-0.14
5,70.64,0.32,0.8,38.08,8.12,-450.94,1.07
6,43.53,0.67,0.8,61.86,13.9,35.97,11.52
7,68.92,0.3,0.8,42.78,8.25,-82.18,3.03
8,65.14,0.34,0.8,54.93,17.05,22.15,4.84
9,71.72,0.58,0.8,37.31,18.76,-1150.42,-0.22
10,66.55,0.19,0.8,49.18,7.83,58.66,8.39
11,27.95,0.88,0.8,50.06,3.33,22.07,11.52
12,73.29,0.37,0.8,76.29,26.89,-1102.79,-0.58
13,68.97,0.46,0.8,44.17,15.73,-360.69,1.38
14,54.15,0.45,0.8,90.85,31.45,45.37,11.52
15,59.25,0.79,0.8,80.87,10.73,49.91,11.52
16,68.11,0.68,0.8,50.18,32.91,60.2,6.54
17,68.92,0.43,0.8,44.94,18.38,-1154.6,-0.22
18,37.85,0.61,0.8,64.33,17.89,30.91,11.52
19,42.44,0.59,0.8,65.79,19.46,34.99,11.52
20,43.02,0.78,0.8,84.48,16.31,35.52,11.52
21,66.53,0.42,0.8,52.61,23.73,-1138.37,-0.0
22,55.62,0.63,0.8,84.19,20.66,46.71,11.52
23,75.71,0.45,0.8,24.63,9.86,-1104.79,-0.48
24,61.18,0.34,0.8,67.63,25.86,-44.94,3.55
25,68.17,0.5,0.8,47.14,19.39,-683.9,0.49
26,51.97,0.59,0.8,44.81,10.43,43.44,11.52
27,69.17,0.41,0.8,44.89,21.14,-1095.16,-0.06
28,54.81,0.51,0.8,67.06,19.59,45.96,11.52
29,55.01,0.69,0.8,56.78,9.32,46.16,11.52
30,71.55,0.33,0.8,35.41,7.26,-1199.54,-0.14
31,63.75,0.38,0.8,59.06,18.83,56.24,7.62
32,63.06,0.42,0.8,62.91,27.72,-854.55,0.19
33,55.07,0.76,0.8,60.92,6.61,46.19,11.52
34,53.92,0.67,0.8,74.64,15.2,45.16,11.52
35,68.22,0.39,0.8,45.18,10.9,6.8,4.4
36,17.56,0.72,0.8,55.49,14.68,12.84,11.52
37,68.56,0.38,0.8,44.64,12.56,-285.09,1.69
38,50.26,0.83,0.8,64.33,5.06,41.93,11.52
39,68.95,0.42,0.8,43.3,11.5,-82.23,3.01
40,64.18,0.33,0.8,57.24,15.77,56.46,7.84
41,64.68,0.26,0.8,55.62,14.25,57.04,6.6
42,56.41,0.62,0.8,78.19,19.29,47.41,11.52
43,56.72,0.4,0.8,75.94,28.53,47.65,11.52
44,41.27,0.83,0.8,68.78,8.65,33.94,11.52
45,26.42,0.81,0.8,50.97,6.98,20.72,11.52
46,20.31,0.66,0.8,51.71,15.17,15.32,11.52
47,22.33,0.67,0.8,44.92,12.61,17.08,11.52
48,59.56,0.74,0.8,80.77,13.06,50.22,11.52
49,71.69,0.45,0.8,36.72,15.27,-1099.96,-0.17
50,57.87,0.63,0.8,73.89,16.76,48.67,11.52
51,43.33,0.76,0.8,70.29,12.18,35.76,11.52
52,65.55,0.42,0.8,54.44,20.06,-35.79,3.65
53,68.1,0.49,0.8,48.58,24.95,-1154.18,-0.2
54,71.84,0.44,0.8,36.12,14.37,-1089.66,-0.01
55,70.42,0.59,0.8,42.58,26.51,-1132.8,-0.22
56,47.47,0.51,0.8,69.67,22.24,39.47,11.52
57,69.06,0.46,0.8,45.16,21.16,-1119.34,-0.17
58,68.96,0.47,0.8,44.62,17.61,-738.26,0.39
59,29.96,0.67,0.8,45.26,11.44,23.91,11.52
60,7.62,0.72,0.8,31.7,8.18,4.05,11.52
61,66.38,0.23,0.8,51.25,15.15,-1289.7,-0.03
62,62.41,0.55,0.8,74.74,19.16,52.71,11.52
63,40.84,0.72,0.8,59.45,10.84,33.56,11.52
64,64.75,0.36,0.8,54.89,12.29,56.94,9.27
65,63.03,0.19,0.8,60.51,15.88,7.88,4.54
66,43.38,0.57,0.8,54.22,15.57,35.84,11.52
67,54.24,0.74,0.8,74.25,12.27,45.45,11.52
68,69.67,0.52,0.8,43.46,21.24,-1168.58,-0.06
69,69.49,0.54,0.8,45.08,26.25,-1125.74,-0.28
70,51.95,0.62,0.8,66.62,16.32,43.4,11.52
71,69.98,0.49,0.8,42.96,22.57,-1100.26,-0.03
72,47.77,0.64,0.8,89.18,23.31,39.74,11.52
73,51.33,0.53,0.8,55.81,15.36,42.87,11.52
74,58.5,0.58,0.8,77.71,19.65,49.26,11.52
75,68.91,0.46,0.8,44.64,17.1,-1156.58,-0.06
76,59.26,0.71,0.8,71.98,12.4,49.96,11.52
77,67.23,0.35,0.8,48.55,13.86,-36.06,3.61
78,66.79,0.58,0.8,53.66,32.08,-508.87,0.93
79,50.95,0.68,0.8,67.96,13.72,42.53,11.52
80,75.57,0.51,0.8,25.42,11.83,-1104.31,-0.49
81,41.28,0.64,0.8,39.27,8.41,33.97,11.52
82,68.55,0.41,0.8,44.75,13.11,-124.38,2.64
83,28.23,0.63,0.8,59.86,18.23,22.37,11.52
84,61.4,0.51,0.8,84.59,24.38,51.85,11.52
85,36.38,0.52,0.8,60.86,21.91,29.61,11.52
86,68.54,0.33,0.8,44.4,11.06,-31.73,3.67
87,58.61,0.56,0.8,77.07,20.87,49.37,11.52
88,47.63,0.81,0.8,73.23,10.88,39.58,11.52
89,72.19,0.5,0.8,36.13,18.81,-1105.07,-0.27
90,13.68,0.87,0.8,47.09,5.42,9.41,11.52
91,8.31,0.81,0.8,33.05,4.81,4.66,11.52
92,69.27,0.53,0.8,44.89,22.7,-1116.34,-0.0
93,40.43,0.61,0.8,65.5,18.58,33.18,11.52
94,68.92,0.26,0.8,43.37,10.73,-1241.83,-0.05
95,68.45,0.45,0.8,46.24,18.63,-1158.47,-0.1
96,57.51,0.68,0.8,81.91,17.09,48.36,11.52
97,67.72,0.32,0.8,45.86,7.65,60.01,8.39
98,63.3,0.58,0.8,63.82,35.37,56.16,9.09
99,57.36,0.7,0.8,71.12,12.64,48.24,11.52
100,68.16,0.34,0.8,46.55,15.98,-1133.98,-0.04
101,59.94,0.42,0.8,71.42,24.9,51.1,11.23
102,66.53,0.57,0.8,88.21,22.14,56.61,11.36
103,23.12,0.9,0.8,56.47,6.0,17.79,11.52
104,29.32,0.6,0.8,62.05,19.0,23.34,11.52
105,35.89,0.58,0.8,45.44,14.73,29.14,11.52
106,66.14,0.36,0.8,51.9,15.68,12.26,4.59
107,56.08,0.47,0.8,70.28,22.45,47.08,11.52
108,36.77,0.68,0.8,52.03,10.92,29.94,11.52
109,66.55,0.45,0.8,51.99,21.43,-441.66,1.11
110,50.2,0.58,0.8,60.67,15.79,41.87,11.52
111,70.92,0.57,0.8,40.61,23.66,-1109.73,-0.2
112,69.64,0.44,0.8,42.49,16.14,-1192.99,-0.16
113,17.96,0.71,0.8,50.41,13.36,13.19,11.52
114,64.92,0.42,0.8,56.01,19.53,57.1,5.86
115,69.48,0.46,0.8,43.7,19.72,-1135.94,-0.15
116,73.16,0.44,0.8,31.44,9.36,-1098.82,-0.07
117,48.04,0.52,0.8,57.67,17.92,39.96,11.52
118,14.97,0.82,0.8,58.48,11.02,10.56,11.52
119,64.73,0.39,0.8,55.65,15.55,56.92,7.77
120,52.36,0.53,0.8,52.31,14.96,43.8,11.52
121,56.23,0.51,0.8,68.73,20.74,47.25,11.52
122,69.08,0.44,0.8,43.73,14.96,-1263.74,-0.01
123,69.69,0.33,0.8,40.46,7.36,-70.26,3.16
124,69.61,0.48,0.8,43.87,22.03,-1100.66,-0.02
125,66.73,0.31,0.8,49.42,11.57,15.59,4.64
126,64.65,0.56,0.8,77.01,20.26,54.77,11.47
127,66.57,0.36,0.8,51.1,17.33,-562.4,0.77
128,42.46,0.51,0.8,60.33,21.05,34.99,11.52
129,62.32,0.73,0.8,88.33,15.49,52.62,11.52
130,70.13,0.4,0.8,41.07,15.62,-1102.22,-0.08
131,64.75,0.36,0.8,55.38,14.41,57.45,7.4
132,48.6,0.52,0.8,71.07,22.59,40.47,11.52
133,42.66,0.41,0.8,49.37,21.96,35.17,11.52
134,43.39,0.38,0.8,70.61,30.2,35.82,11.52
135,69.06,0.45,0.8,44.3,17.32,-1167.76,-0.14
136,69.89,0.48,0.8,41.78,16.29,-1138.64,-0.18
137,33.8,0.6,0.8,60.28,18.42,27.28,11.52
138,67.4,0.39,0.8,48.12,14.1,59.37,6.57
139,40.64,0.62,0.8,55.41,14.63,33.4,11.52
140,47.72,0.53,0.8,68.5,21.51,39.69,11.52
141,54.05,0.4,0.8,65.02,23.71,45.32,11.52
142,59.81,0.33,0.8,69.49,28.21,-193.6,2.17
143,35.36,0.56,0.8,41.35,13.77,28.67,11.52
144,43.14,0.7,0.8,51.44,9.36,35.58,11.52
145,69.75,0.48,0.8,43.58,22.55,-1111.79,-0.35
146,70.69,0.43,0.8,39.73,16.53,-1103.25,-0.2
147,27.75,0.61,0.8,50.88,15.46,21.9,11.52
148,44.7,0.74,0.8,80.04,16.12,36.97,11.52
149,70.94,0.47,0.8,39.65,19.26,-1093.39,-0.17
150,64.86,0.51,0.8,58.63,30.7,-257.67,1.83
151,75.73,0.56,0.8,25.92,16.18,-1085.12,-0.2
152,25.4,0.7,0.8,48.26,11.77,19.8,11.52
153,73.35,0.51,0.8,31.54,12.44,-1105.16,-0.35
154,60.2,0.43,0.8,69.18,24.16,50.74,11.52
155,70.35,0.42,0.8,41.33,19.44,-1108.88,-0.43
156,68.08,0.3,0.8,46.4,14.2,-1186.11,-0.05
157,24.54,0.62,0.8,42.39,13.01,19.07,11.52
158,64.47,0.3,0.8,56.83,17.25,-69.74,3.21
159,43.56,0.55,0.8,64.77,20.52,35.96,11.52
160,68.94,0.42,0.8,44.67,17.36,-1118.44,-0.01
161,69.25,0.46,0.8,91.61,28.36,-1162.64,-0.13
162,44.96,0.68,0.8,56.88,11.69,37.21,11.52
163,45.1,0.53,0.8,58.65,18.51,37.33,11.52
164,49.6,0.6,0.8,68.81,17.35,41.33,11.52
165,37.87,0.75,0.8,66.27,12.57,30.89,11.52
166,36.08,0.56,0.8,52.6,17.15,29.32,11.52
167,71.03,0.54,0.8,39.16,18.52,-1174.92,-0.1
168,54.78,0.66,0.8,65.5,13.28,45.97,11.52
169,68.74,0.28,0.8,43.96,11.3,-1303.17,-0.05
170,73.75,0.51,0.8,32.34,20.77,-1105.96,-0.55
171,74.62,0.52,0.8,27.49,9.79,-1108.09,-0.35
172,70.71,0.39,0.8,38.32,10.4,-1237.32,-0.07
173,73.3,0.53,0.8,32.81,17.52,-1099.1,-0.33
174,68.02,0.43,0.8,47.07,17.06,-1201.27,-0.14
175,67.49,0.44,0.8,48.08,15.27,59.65,6.0
176,24.87,0.67,0.8,41.3,9.88,19.37,11.52
177,51.87,0.66,0.8,71.0,15.21,43.37,11.52
178,71.12,0.4,0.8,37.73,12.69,-1135.43,-0.16
179,40.7,0.68,0.8,66.83,15.2,33.46,11.52
180,46.59,0.6,0.8,70.02,18.71,38.67,11.52
181,43.26,0.68,0.8,64.69,14.2,35.73,11.52
182,58.62,0.62,0.8,83.72,19.71,49.33,11.52
183,49.69,0.67,0.8,69.85,15.26,41.39,11.52
