Episode,Kick_Speed,friction_patch,default_friction,loc_patch,size_patch,Rewards,Stop_Distance
0,31.32,0.49,0.8,48.37,7.94,-206.92,71.78
1,41.11,0.7,0.8,60.5,14.93,-83.59,52.02
2,36.28,0.68,0.8,48.19,12.46,-163.37,63.76
3,28.92,0.81,0.8,53.27,17.36,-296.18,77.61
4,32.52,0.54,0.8,46.45,17.21,-175.24,64.44
5,28.57,0.46,0.8,40.64,11.5,-285.28,76.91
6,39.9,0.66,0.8,50.85,12.38,-118.38,55.22
7,21.65,0.69,0.8,56.49,19.67,-373.85,86.83
8,42.02,0.44,0.8,56.87,9.06,-36.82,41.79
9,45.07,0.64,0.8,55.58,18.75,-17.33,34.37
10,33.72,0.53,0.8,43.69,17.39,-226.26,68.31
11,20.05,0.77,0.8,52.75,7.3,-397.19,88.06
12,37.63,0.67,0.8,65.59,18.28,-128.11,55.89
13,32.4,0.71,0.8,49.35,9.79,-231.72,68.62
14,14.05,0.56,0.8,56.19,15.51,-410.47,93.47
15,29.45,0.69,0.8,40.58,14.95,-236.67,73.72
16,29.41,0.51,0.8,58.87,21.87,-261.89,75.44
17,29.93,0.69,0.8,40.12,19.53,-233.88,73.59
18,26.93,0.51,0.8,49.59,11.03,-293.51,82.33
19,41.51,0.67,0.8,63.02,9.79,-53.49,43.76
20,34.42,0.54,0.8,62.68,13.09,-166.13,58.91
21,51.45,0.66,0.8,33.36,20.3,11.95,25.41
22,35.47,0.68,0.8,50.65,11.93,-204.97,66.87
23,20.45,0.71,0.8,53.2,6.4,-417.45,89.21
24,33.63,0.52,0.8,52.63,13.49,-245.95,69.69
25,27.98,0.58,0.8,58.26,9.98,-303.57,78.04
26,58.88,0.77,0.8,45.84,22.11,-233.63,2.05
27,23.01,0.63,0.8,45.31,10.83,-328.59,84.25
28,56.19,0.67,0.8,64.09,18.96,-385.96,1.45
29,40.89,0.47,0.8,78.72,24.22,-27.72,35.34
30,34.53,0.64,0.8,60.11,20.55,-190.06,65.69
31,28.53,0.63,0.8,60.66,9.66,-282.42,76.73
32,19.48,0.55,0.8,68.59,13.52,-350.71,90.45
33,31.8,0.55,0.8,54.05,19.25,-245.56,69.55
34,36.82,0.51,0.8,61.27,13.19,-130.72,56.08
35,25.46,0.56,0.8,44.01,10.84,-287.68,81.89
36,46.21,0.53,0.8,44.47,7.86,6.26,30.83
37,37.69,0.6,0.8,38.29,14.77,-134.72,61.53
38,17.79,0.37,0.8,69.29,10.19,-373.15,91.62
39,51.16,0.49,0.8,39.56,14.49,31.52,20.95
40,30.14,0.46,0.8,58.51,18.98,-211.78,72.06
41,31.54,0.57,0.8,17.99,16.64,-194.79,70.92
42,37.07,0.73,0.8,51.31,11.09,-155.76,63.21
43,30.02,0.61,0.8,46.53,19.16,-233.38,73.54
44,43.39,0.78,0.8,27.45,17.78,-79.71,46.8
45,34.34,0.6,0.8,53.04,14.53,-218.47,67.8
46,39.6,0.69,0.8,33.27,12.2,-118.89,55.24
47,47.23,0.48,0.8,56.05,15.25,4.47,26.19
48,41.08,0.81,0.8,43.83,15.63,-90.14,52.65
49,19.38,0.64,0.8,62.86,14.02,-401.98,88.28
50,49.21,0.56,0.8,43.3,14.71,-6.67,28.36
51,50.11,0.77,0.8,42.16,11.58,7.42,31.17
52,51.89,0.67,0.8,25.75,14.84,5.72,26.69
53,31.81,0.74,0.8,32.35,17.36,-233.11,73.64
54,38.18,0.67,0.8,51.52,17.87,-146.2,57.49
55,46.41,0.51,0.8,41.7,22.86,7.12,30.71
56,34.23,0.69,0.8,37.66,24.09,-181.73,65.03
57,21.82,0.47,0.8,55.07,15.71,-415.71,89.17
58,28.24,0.7,0.8,67.91,10.73,-294.3,77.47
59,32.18,0.82,0.8,47.55,10.15,-238.43,74.02
60,26.6,0.59,0.8,48.26,22.81,-258.01,80.07
61,24.16,0.45,0.8,38.99,14.62,-318.42,83.7
62,32.64,0.51,0.8,46.3,15.1,-231.2,73.56
63,21.46,0.49,0.8,44.06,9.04,-396.95,88.12
64,37.15,0.5,0.8,37.69,18.75,-143.83,62.24
65,38.7,0.58,0.8,61.67,15.4,-114.11,49.85
66,20.55,0.76,0.8,52.37,24.18,-419.03,89.29
67,45.15,0.64,0.8,52.73,11.61,-47.89,38.52
68,33.13,0.57,0.8,53.13,20.52,-197.23,71.21
69,31.52,0.43,0.8,64.47,13.87,-244.61,69.48
70,56.78,0.71,0.8,52.47,10.79,40.6,14.41
71,40.26,0.52,0.8,43.45,18.77,-68.19,50.39
72,36,0.57,0.8,53.09,0.68,-213.02,67.5
73,50.67,0.48,0.8,73.61,12.29,27.97,21.82
74,53.37,0.69,0.8,39.05,2.75,34.52,20.72
75,46.76,0.72,0.8,48.07,10.4,-25.34,35.78
