Episode,Kick_Speed,friction_patch,default_friction,loc_patch,size_patch,Rewards,Stop_Distance,test
109,58.41,0.65,0.8,48.42,17.12,-1160.53,-0.2,1.0
280,59.23,0.44,0.8,43.17,22.01,-1118.7,-0.48,1.0
3308,59.45,0.46,0.8,33.38,19.75,-1125.02,-0.24,1.0
3321,58.11,0.36,0.8,41.69,9.61,-1119.8,-0.45,1.0
3324,52.12,0.44,0.8,49.99,18.09,-1139.74,-0.33,1.0
3351,60.07,0.61,0.8,36.21,12.12,-1104.38,-0.48,1.0
3352,49.54,0.44,0.8,69.31,9.92,-1112.65,-0.16,1.0
3365,48.4,0.55,0.8,51.33,12.83,-1179.25,-0.15,1.0
3369,57.4,0.61,0.8,51.81,15.13,-1089.44,-0.1,1.0
3390,52.0,0.48,0.8,60.92,14.31,-1121.0,-0.38,1.0
3416,50.91,0.48,0.8,38.42,21.71,-1107.06,-0.31,1.0
3419,47.32,0.47,0.8,52.25,15.84,-1147.66,-0.25,1.0
3448,51.23,0.6,0.8,42.64,16.8,-1122.06,-0.39,1.0
3459,52.0,0.6,0.8,34.57,8.73,-1103.11,-0.02,1.0
3466,52.23,0.56,0.8,45.42,6.17,-1132.89,-0.37,1.0
3467,53.38,0.49,0.8,58.32,13.34,-1109.07,-0.32,1.0
3471,50.33,0.65,0.8,45.17,20.54,-1125.14,-0.08,1.0
3473,51.1,0.66,0.8,64.16,17.73,-1140.52,-0.3,1.0
5421,43.05,0.51,0.8,31.21,12.62,-1262.01,-0.03,1.0
6013,42.22,0.6,0.8,37.83,7.55,-1154.74,-0.14,1.0
6015,43.85,0.7,0.8,49.57,26.69,-1161.52,-0.12,1.0
6017,49.44,0.69,0.8,55.68,11.69,-1178.41,-0.14,1.0
6033,38.95,0.63,0.8,56.68,21.82,-1281.12,-0.14,1.0
6036,48.03,0.54,0.8,37.21,19.07,-1126.31,-0.06,1.0
6037,49.32,0.77,0.8,49.65,8.28,-1163.63,-0.19,1.0
6041,43.4,0.64,0.8,47.97,22.89,-1134.11,-0.24,1.0
6042,41.6,0.57,0.8,62.43,19.3,-1201.44,-0.15,1.0
6045,47.66,0.65,0.8,56.19,7.74,-1128.62,-0.34,1.0
6046,42.41,0.55,0.8,47.06,16.76,-1103.19,-0.01,1.0
6047,47.75,0.65,0.8,46.83,19.03,-1108.9,-0.28,1.0
6050,49.25,0.66,0.8,48.81,14.07,-1100.3,-0.22,1.0
6053,42.83,0.58,0.8,49.66,19.63,-1179.97,-0.24,1.0
6056,50.33,0.75,0.8,39.52,16.29,-1125.73,-0.28,1.0
6060,38.54,0.63,0.8,45.21,14.32,-1179.25,-0.18,1.0
6063,54.48,0.54,0.8,56.69,9.72,-1112.0,-0.45,1.0
6067,39.37,0.58,0.8,32.01,13.37,-1305.96,-0.07,1.0
6070,56.95,0.54,0.8,63.19,20.79,-1107.73,-0.46,1.0
6071,52.86,0.67,0.8,46.18,8.75,-1092.96,-0.05,1.0
6072,40.0,0.59,0.8,54.31,6.4,-1208.09,-0.05,1.0
6079,37.68,0.55,0.8,46.52,7.69,-1314.21,-0.06,1.0
6081,48.08,0.5,0.8,44.6,21.27,-1109.77,-0.4,1.0
6087,43.31,0.49,0.8,41.57,12.27,-1106.12,-0.06,1.0
6088,45.58,0.72,0.8,63.57,8.68,-1097.56,0.0,1.0
6089,43.21,0.74,0.8,56.16,17.63,-1121.89,-0.17,1.0
6090,38.84,0.57,0.8,53.22,15.41,-1178.89,-0.25,1.0
6093,41.75,0.66,0.8,55.48,21.29,-1126.29,-0.28,1.0
6094,47.9,0.78,0.8,43.48,5.76,-1093.42,-0.04,1.0
6097,42.59,0.42,0.8,72.01,19.03,-1116.57,-0.35,1.0
6098,47.91,0.87,0.8,68.75,15.32,-1125.98,-0.52,1.0
6103,45.03,0.63,0.8,41.04,19.38,-1103.81,-0.15,1.0
6107,41.39,0.74,0.8,57.28,21.52,-1113.83,-0.14,1.0
6108,40.92,0.49,0.8,55.49,13.55,-1125.94,-0.23,1.0
6109,42.85,0.46,0.8,35.98,11.25,-1108.0,-0.11,1.0
6110,41.48,0.48,0.8,57.2,12.75,-1117.7,-0.03,1.0
6112,45.23,0.48,0.8,47.53,18.32,-1115.87,-0.45,1.0
6113,40.86,0.46,0.8,59.96,17.47,-1130.36,-0.38,1.0
6116,43.33,0.55,0.8,48.64,7.55,-1107.74,-0.15,1.0
6117,41.19,0.62,0.8,36.8,1.05,-1139.52,-0.27,1.0
6118,46.73,0.58,0.8,72.9,9.88,-1096.22,-0.07,1.0
6124,38.51,0.49,0.8,51.59,24.68,-1137.07,-0.44,1.0
6127,53.1,0.49,0.8,54.15,13.42,-1127.98,-0.84,1.0
6128,44.04,0.65,0.8,26.41,12.81,-1126.88,-0.48,1.0
6130,37.45,0.59,0.8,55.19,12.42,-1232.19,-0.06,1.0
6131,51.41,0.65,0.8,56.69,18.02,-1111.07,-0.5,1.0
6132,38.66,0.5,0.8,32.89,15.57,-1151.76,-0.1,1.0
6137,45.45,0.6,0.8,50.64,17.04,-1110.69,-0.34,1.0
6139,48.52,0.59,0.8,48.46,7.02,-1103.61,-0.28,1.0
6140,49.79,0.64,0.8,46.33,20.55,-1101.47,-0.26,1.0
6143,44.11,0.5,0.8,46.75,13.52,-1116.24,-0.37,1.0
6145,46.84,0.63,0.8,52.74,25.41,-1093.03,-0.01,1.0
6146,39.48,0.73,0.8,38.81,17.55,-1174.7,-0.04,1.0
6149,46.57,0.63,0.8,73.73,15.99,-1096.72,-0.09,1.0
6150,46.78,0.79,0.8,44.3,17.09,-1095.43,-0.04,1.0
6152,43.26,0.7,0.8,46.02,21.11,-1112.63,-0.2,1.0
6153,40.67,0.55,0.8,47.11,10.85,-1124.3,-0.06,1.0
