Episode,Kick_Speed,friction_patch,default_friction,loc_patch,size_patch,Rewards,Stop_Distance,test,
0,74.44,0.53,0.8,28.36,11.46,-1092.16,-0.12,1,1
1,71.97,0.49,0.8,36.15,16.23,-1118.97,-0.35,1,1
9,69.14,0.41,0.8,44.26,17.94,-1106.83,-0.19,1,8
22,72.58,0.6,0.8,35.87,22.76,-1113.16,-0.44,1,13
29,69.13,0.31,0.8,43.44,13.7,-1132.09,-0.33,1,7
30,66.58,0.25,0.8,50.62,14.77,-1128.69,-0.04,1,1
35,72.88,0.39,0.8,80.67,26.05,-1086.44,-0.22,1,5
38,84.56,0.4,0.8,92.52,28.09,-1120.9,-0.98,1,3
53,69.68,0.46,0.8,42.69,17.69,-1131.05,-0.25,1,15
55,71.97,0.4,0.8,34.73,9.6,-1125.71,-0.15,1,2
,,,,,,,,Average,5.6
