Episode,Kick_Speed,friction_patch,default_friction,loc_patch,size_patch,Rewards,Stop_Distance,
4,66.47,0.48,0.8,53.98,29.24,-1129.34,-0.14,5
9,71.72,0.58,0.8,37.31,18.76,-1150.42,-0.22,5
12,73.29,0.37,0.8,76.29,26.89,-1102.79,-0.58,3
17,68.92,0.43,0.8,44.94,18.38,-1154.6,-0.22,5
21,66.53,0.42,0.8,52.61,23.73,-1138.37,0,4
23,75.71,0.45,0.8,24.63,9.86,-1104.79,-0.48,2
27,69.17,0.41,0.8,44.89,21.14,-1095.16,-0.06,4
30,71.55,0.33,0.8,35.41,7.26,-1199.54,-0.14,3
49,71.69,0.45,0.8,36.72,15.27,-1099.96,-0.17,19
53,68.1,0.49,0.8,48.58,24.95,-1154.18,-0.2,4
54,71.84,0.44,0.8,36.12,14.37,-1089.66,-0.01,1
55,70.42,0.59,0.8,42.58,26.51,-1132.8,-0.22,1
57,69.06,0.46,0.8,45.16,21.16,-1119.34,-0.17,2
61,66.38,0.23,0.8,51.25,15.15,-1289.7,-0.03,4
68,69.67,0.52,0.8,43.46,21.24,-1168.58,-0.06,7
69,69.49,0.54,0.8,45.08,26.25,-1125.74,-0.28,1
71,69.98,0.49,0.8,42.96,22.57,-1100.26,-0.03,2
75,68.91,0.46,0.8,44.64,17.1,-1156.58,-0.06,4
80,75.57,0.51,0.8,25.42,11.83,-1104.31,-0.49,5
89,72.19,0.5,0.8,36.13,18.81,-1105.07,-0.27,9
92,69.27,0.53,0.8,44.89,22.7,-1116.34,0,3
94,68.92,0.26,0.8,43.37,10.73,-1241.83,-0.05,2
95,68.45,0.45,0.8,46.24,18.63,-1158.47,-0.1,1
100,68.16,0.34,0.8,46.55,15.98,-1133.98,-0.04,5
111,70.92,0.57,0.8,40.61,23.66,-1109.73,-0.2,11
112,69.64,0.44,0.8,42.49,16.14,-1192.99,-0.16,1
115,69.48,0.46,0.8,43.7,19.72,-1135.94,-0.15,3
116,73.16,0.44,0.8,31.44,9.36,-1098.82,-0.07,1
122,69.08,0.44,0.8,43.73,14.96,-1263.74,-0.01,6
124,69.61,0.48,0.8,43.87,22.03,-1100.66,-0.02,2
130,70.13,0.4,0.8,41.07,15.62,-1102.22,-0.08,6
135,69.06,0.45,0.8,44.3,17.32,-1167.76,-0.14,5
136,69.89,0.48,0.8,41.78,16.29,-1138.64,-0.18,1
145,69.75,0.48,0.8,43.58,22.55,-1111.79,-0.35,9
146,70.69,0.43,0.8,39.73,16.53,-1103.25,-0.2,1
149,70.94,0.47,0.8,39.65,19.26,-1093.39,-0.17,3
151,75.73,0.56,0.8,25.92,16.18,-1085.12,-0.2,2
153,73.35,0.51,0.8,31.54,12.44,-1105.16,-0.35,2
155,70.35,0.42,0.8,41.33,19.44,-1108.88,-0.43,2
156,68.08,0.3,0.8,46.4,14.2,-1186.11,-0.05,1
160,68.94,0.42,0.8,44.67,17.36,-1118.44,-0.01,4
