Episode,Kick_Speed,friction_patch,default_friction,loc_patch,size_patch,Rewards,Stop_Distance,
16349,71.54,0.58,0.8,65.3,19.18,-1115.67,-0.01,16350
16867,72.83,0.34,0.8,52.32,21.22,-1095.87,-0.45,518
148055,75.18,0.63,0.8,54.05,20.29,-1087.55,-0.23,131188
156272,71.27,0.52,0.8,55.02,12.57,-1296.45,-0.02,8217
184305,71.83,0.62,0.8,54.69,17.67,-1187.26,-0.11,28033
209786,72.14,0.51,0.8,59.76,11.72,-1132.48,-0.08,25481
230970,73.14,0.53,0.8,58.88,14.19,-1097.68,-0.19,21184
257949,73.83,0.58,0.8,44.69,20.14,-1080.25,-0.06,26979
266515,73.67,0.75,0.8,32.6,16.27,-1244.98,-0.01,8566
302981,72.53,0.55,0.8,54.72,20.76,-1110.77,-0.4,36466
,,,,,,,Average,30298.2
