Episode,Kick_Speed,friction_patch,default_friction,loc_patch,size_patch,Rewards,Stop_Distance
9729,67.58,0.43,0.8,38.29,22.52,-1114.09,-0.06
11574,74.16,0.63,0.8,63.86,14.96,-1116.48,-0.32
17328,71.66,0.57,0.8,56.57,13.12,-1284.19,-0.0
48965,68.27,0.43,0.8,60.91,22.42,-1106.48,-0.24
56611,71.45,0.6,0.8,55.32,19.52,-1118.39,-0.18
57860,72.14,0.51,0.8,53.69,13.21,-1148.28,-0.26
79070,72.52,0.44,0.8,39.23,15.58,-1083.38,-0.02
108459,70.41,0.56,0.8,55.47,24.0,-1109.44,-0.08
122585,75.3,0.57,0.8,38.03,17.34,-1090.2,-0.29
124843,77.85,0.59,0.8,63.01,22.76,-1079.59,-0.11
131692,73.83,0.55,0.8,39.31,16.61,-1085.87,-0.11
132405,72.3,0.55,0.8,62.25,19.14,-1111.26,-0.17
156674,74.05,0.54,0.8,67.21,15.85,-1093.46,-0.25
208455,73.07,0.71,0.8,65.06,24.52,-1159.24,-0.14
211562,70.09,0.52,0.8,27.86,15.66,-1258.7,-0.08
238533,69.96,0.52,0.8,54.34,20.18,-1186.83,-0.1
246550,73.46,0.47,0.8,76.31,16.79,-1085.58,-0.16
267248,69.79,0.5,0.8,52.74,18.98,-1128.59,-0.09
345038,75.54,0.52,0.8,64.1,15.94,-1088.69,-0.27
348476,72.25,0.64,0.8,35.08,16.21,-1155.65,-0.02
355191,73.67,0.66,0.8,59.47,14.47,-1128.59,-0.26
357088,73.39,0.6,0.8,49.9,9.79,-1149.5,-0.03
359722,69.98,0.37,0.8,51.43,16.4,-1093.54,-0.07
399481,74.32,0.65,0.8,46.78,22.24,-1093.54,-0.24
402789,70.31,0.42,0.8,48.92,12.44,-1212.19,-0.01
515470,72.13,0.61,0.8,54.59,11.11,-1240.48,-0.06
521458,72.66,0.51,0.8,56.77,10.67,-1122.79,-0.1
527516,71.08,0.57,0.8,31.22,23.3,-1116.99,-0.3
528108,68.25,0.28,0.8,68.01,31.44,-1116.89,-0.78
561729,69.72,0.47,0.8,57.7,18.91,-1143.47,-0.25
571966,67.41,0.33,0.8,45.95,16.45,-1266.88,-0.02
586051,75.02,0.58,0.8,79.68,19.28,-1094.73,-0.37
589601,74.68,0.6,0.8,59.4,15.4,-1099.82,-0.28
619417,69.93,0.43,0.8,42.48,17.43,-1127.6,-0.33
621616,74.67,0.48,0.8,36.03,22.38,-1090.51,-0.32
684928,71.05,0.52,0.8,55.34,16.26,-1191.37,-0.05
689495,67.85,0.3,0.8,46.41,21.73,-1085.21,-0.05
702764,71.89,0.55,0.8,31.24,17.12,-1122.47,-0.11
769988,71.69,0.61,0.8,37.83,17.4,-1182.48,-0.15
782804,66.38,0.43,0.8,45.52,23.91,-1185.88,-0.09
821836,65.95,0.37,0.8,63.43,26.29,-1094.71,-0.05
822245,71.54,0.49,0.8,39.45,19.04,-1114.4,-0.34
841195,68.56,0.44,0.8,61.93,20.14,-1118.18,-0.3
876678,71.76,0.58,0.8,53.64,13.83,-1209.27,-0.09
883213,73.45,0.74,0.8,54.13,21.11,-1199.8,-0.02
887898,73.77,0.55,0.8,45.96,13.35,-1113.37,-0.2
908841,73.0,0.58,0.8,51.55,21.13,-1088.61,-0.05
922192,73.55,0.49,0.8,31.72,2.54,-1294.52,-0.02
927991,73.88,0.62,0.8,53.62,9.83,-1135.0,-0.18
927994,70.99,0.55,0.8,40.08,20.99,-1124.73,-0.28
958367,71.92,0.66,0.8,39.2,19.13,-1248.52,-0.01
972431,79.72,0.57,0.8,30.56,10.1,-1098.09,-0.58
997106,73.36,0.59,0.8,56.4,11.81,-1136.51,-0.06
1000845,74.29,0.58,0.8,70.51,15.51,-1116.98,-0.4
1064430,71.97,0.54,0.8,58.22,16.5,-1131.76,-0.27
1075296,69.9,0.44,0.8,58.47,22.06,-1098.53,-0.26
1076501,74.53,0.65,0.8,58.7,8.37,-1128.11,-0.22
1115992,70.64,0.43,0.8,53.73,17.15,-1115.33,-0.35
1183721,73.93,0.6,0.8,44.24,13.46,-1099.62,-0.1
1197198,63.73,0.34,0.8,51.2,26.12,-1155.66,-0.04
1351572,74.43,0.73,0.8,38.1,12.19,-1137.13,-0.08
1352033,73.54,0.69,0.8,38.12,16.62,-1162.63,-0.17
1352881,70.37,0.47,0.8,42.68,15.03,-1142.69,-0.12
1438645,67.31,0.47,0.8,56.79,19.48,-1347.13,-0.02
1445861,73.95,0.62,0.8,51.87,20.53,-1088.7,-0.15
1446185,70.01,0.5,0.8,71.04,18.19,-1156.23,-0.03
1468344,68.86,0.4,0.8,50.06,21.56,-1094.15,-0.08
1482536,70.66,0.52,0.8,35.0,14.47,-1262.18,-0.05
1506358,66.15,0.4,0.8,48.83,28.01,-1094.45,-0.1
1515449,69.42,0.43,0.8,36.24,21.51,-1097.43,-0.12
1527150,81.99,0.56,0.8,67.92,6.32,-1087.6,-0.35
1539688,70.65,0.49,0.8,42.12,14.19,-1159.41,-0.23
1545459,72.58,0.65,0.8,58.77,17.8,-1263.81,-0.06
1614052,72.19,0.52,0.8,54.13,16.02,-1111.3,-0.14
1667715,77.36,0.66,0.8,42.87,8.74,-1091.37,-0.35
1716012,68.22,0.43,0.8,42.05,19.18,-1138.61,-0.11
1724802,73.73,0.6,0.8,22.07,15.74,-1093.08,-0.2
1736196,69.62,0.35,0.8,60.74,17.49,-1126.67,-0.36
1740290,72.61,0.46,0.8,51.55,16.55,-1097.21,-0.29
1748158,70.38,0.34,0.8,74.8,14.28,-1104.88,-0.14
1760627,71.69,0.46,0.8,57.48,20.01,-1079.83,-0.01
1783547,74.0,0.67,0.8,59.34,10.26,-1177.09,-0.14
1828718,72.8,0.5,0.8,45.07,20.59,-1104.8,-0.52
1850355,70.33,0.47,0.8,43.28,19.51,-1094.31,-0.05
1870037,77.99,0.58,0.8,45.46,19.58,-1092.57,-0.47
1888633,74.24,0.44,0.8,51.96,13.33,-1096.19,-0.38
1903594,76.6,0.66,0.8,61.63,15.28,-1073.62,-0.02
1979636,73.8,0.6,0.8,41.84,20.16,-1090.78,-0.19
2013400,73.56,0.72,0.8,63.2,9.19,-1241.22,-0.08
2023057,73.64,0.44,0.8,69.98,19.09,-1083.43,-0.14
2041448,73.18,0.58,0.8,27.75,15.04,-1125.0,-0.28
2042806,68.62,0.48,0.8,51.14,32.06,-1080.15,-0.01
2046326,76.39,0.7,0.8,41.31,10.72,-1102.0,-0.33
2059507,71.77,0.46,0.8,36.05,15.16,-1095.0,-0.22
2092911,74.47,0.67,0.8,57.73,21.74,-1112.18,-0.41
2110738,70.27,0.43,0.8,54.99,13.64,-1179.49,-0.16
2158531,67.47,0.44,0.8,71.0,21.34,-1116.26,-0.08
2163645,70.75,0.45,0.8,64.68,18.48,-1092.12,-0.17
2171118,71.67,0.57,0.8,46.73,17.26,-1124.66,-0.01
2225188,82.17,0.45,0.8,42.82,18.55,-1089.16,-0.1
