Episode,Kick_Speed,friction_patch,default_friction,loc_patch,size_patch,Rewards,Stop_Distance
0,29.44,0.7,0.8,38.29,7.89,23.4,11.52
1,63.3,0.54,0.8,54.41,21.47,53.5,11.52
2,64.89,0.36,0.8,55.38,16.05,57.52,5.6
3,60.3,0.47,0.8,50.85,18.11,50.84,11.52
4,37.81,0.68,0.8,71.14,16.96,30.87,11.52
5,55.92,0.53,0.8,54.22,22.19,46.93,11.52
6,51.95,0.5,0.8,62.01,20.48,43.43,11.52
7,58.94,0.46,0.8,60.77,24.94,49.66,11.52
8,70.29,0.5,0.8,41.04,17.81,-1155.87,-0.22
9,62.83,0.46,0.8,75.45,23.89,55.23,9.27
10,69.77,0.58,0.8,50.06,23.88,-1221.56,-0.07
11,36.69,0.51,0.8,36.9,21.47,29.85,11.52
12,55.58,0.46,0.8,45.44,21.2,46.62,11.52
13,76.2,0.7,0.8,59.53,18.5,-1079.69,-0.02
14,66.05,0.52,0.8,50.29,16.98,58.52,9.24
15,67.84,0.49,0.8,65.88,22.51,-470.15,1.0
16,40.08,0.71,0.8,73.48,16.34,32.88,11.52
17,66.91,0.57,0.8,45.12,18.42,59.27,9.49
18,51.05,0.28,0.8,47.7,10.61,42.65,11.52
19,64.89,0.5,0.8,48.92,16.49,56.86,10.42
20,81.46,0.56,0.8,44.34,27.8,-1089.55,-0.13
21,54.04,0.59,0.8,81.31,21.39,45.29,11.52
22,57.93,0.42,0.8,73.59,19.8,48.75,11.52
23,62.5,0.5,0.8,48.05,16.03,52.82,11.52
24,56.65,0.41,0.8,59.07,18.83,47.6,11.52
25,55.1,0.53,0.8,54.92,19.23,46.22,11.52
26,56.43,0.39,0.8,60.87,23.46,47.43,11.52
27,79.51,0.57,0.8,46.54,21.35,-1092.39,-0.44
28,35.49,0.74,0.8,70.9,14.68,28.83,11.52
29,60.0,0.54,0.8,55.68,17.36,50.6,11.52
30,78.88,0.6,0.8,44.54,19.96,-1104.15,-0.68
31,65.72,0.75,0.8,62.16,15.44,55.69,11.52
32,71.62,0.51,0.8,53.45,20.89,-1096.42,-0.16
33,20.31,0.86,0.8,62.38,9.18,15.33,11.52
34,60.16,0.43,0.8,53.45,17.11,50.75,11.52
35,88.84,0.1,0.8,52.09,14.14,-1117.94,-0.47
36,80.59,0.43,0.8,51.48,18.26,-1089.62,-0.22
37,75.85,0.38,0.8,50.36,11.74,-1077.24,-0.05
38,81.86,0.58,0.8,51.4,23.86,-1091.33,-0.29
39,64.36,0.6,0.8,48.16,14.07,54.46,11.52
40,68.31,0.54,0.8,52.62,21.2,-98.16,2.88
41,36.45,0.87,0.8,58.37,16.31,29.64,11.52
42,58.44,0.49,0.8,44.74,20.04,49.18,11.52
43,58.37,0.43,0.8,46.65,17.09,49.13,11.52
44,61.54,0.56,0.8,48.08,20.83,51.93,11.52
45,16.57,0.89,0.8,60.28,7.82,11.99,11.52
46,60.89,0.56,0.8,42.42,25.82,51.35,11.52
47,66.65,0.49,0.8,88.39,25.96,17.57,4.72
48,57.59,0.47,0.8,51.74,19.67,48.41,11.52
49,69.72,0.4,0.8,50.66,10.83,-255.73,1.78
50,58.08,0.37,0.8,45.41,19.07,48.9,11.52
51,66.22,0.6,0.8,53.26,19.52,56.12,11.52
