Episode,Kick_Speed,friction_patch,default_friction,loc_patch,size_patch,Rewards,Stop_Distance,test
9760,40.2,0.44,0.8,42.2,15.96,-1333.27,-0.05,1
9761,32.16,0.77,0.8,69.03,13.47,-1320.7,-0.01,1
9762,30.91,0.49,0.8,45.59,18.92,-1254.91,-0.08,1
9763,51.33,0.72,0.8,57.34,8.1,-1190.19,-0.13,1
9764,44.63,0.68,0.8,60.07,13.37,-1197.55,-0.06,1
11452,71.58,0.36,0.8,35.73,9.17,-1121.91,-0.09,1
12204,69.47,0.47,0.8,89.97,26.98,-1114.18,-0.07,1
13555,65.31,0.36,0.8,53.87,14.45,-1209.5,-0.13,1
14173,65.85,0.36,0.8,54.04,21.64,-1198.16,-0.089,1
14237,70.5,0.58,0.8,41.78,23.92,-1104.93,-0.04,1
