Episode,Kick_Speed,friction_patch,default_friction,loc_patch,size_patch,Rewards,Stop_Distance,
8,70.29,0.5,0.8,41.04,17.81,-1155.87,-0.22,9
10,69.77,0.58,0.8,50.06,23.88,-1221.56,-0.07,2
13,76.2,0.7,0.8,59.53,18.5,-1079.69,-0.02,3
20,81.46,0.56,0.8,44.34,27.8,-1089.55,-0.13,7
27,79.51,0.57,0.8,46.54,21.35,-1092.39,-0.44,7
30,78.88,0.6,0.8,44.54,19.96,-1104.15,-0.68,3
32,71.62,0.51,0.8,53.45,20.89,-1096.42,-0.16,2
35,88.84,0.1,0.8,52.09,14.14,-1117.94,-0.47,3
36,80.59,0.43,0.8,51.48,18.26,-1089.62,-0.22,1
37,75.85,0.38,0.8,50.36,11.74,-1077.24,-0.05,1
38,81.86,0.58,0.8,51.4,23.86,-1091.33,-0.29,1
65,67.32,0.39,0.8,49.95,30.88,-1081.35,0,27
78,75.16,0.34,0.8,44.04,17.64,-1105.56,-0.7,13
82,69.75,0.45,0.8,61.94,22.27,-1090.06,-0.1,4
85,73.25,0.6,0.8,38.6,14.38,-1136.65,-0.21,3
100,70.43,0.49,0.8,77.98,24.99,-1099.03,-0.17,15
105,71.26,0.51,0.8,65.02,22.83,-1109.3,-0.35,5
110,70.81,0.49,0.8,59.3,21.86,-1094.25,-0.2,5
115,77.91,0.27,0.8,27.78,11.49,-1081.46,-0.13,5
116,70.97,0.5,0.8,64.81,22.79,-1096.04,-0.21,1
117,69.99,0.45,0.8,57.3,21.5,-1102.68,-0.12,1
118,74.19,0.35,0.8,34.41,21.14,-1104.56,-0.64,1
125,69.82,0.45,0.8,61.48,22.2,-1105.7,-0.23,7
128,70.9,0.48,0.8,55.36,21.19,-1106.39,-0.26,3
135,70.69,0.5,0.8,74.53,24.41,-1098.26,-0.27,7
136,71.79,0.51,0.8,52.65,20.76,-1097.39,-0.25,1
137,70.08,0.6,0.8,45.77,30.08,-1123.46,-0.06,1
138,71.56,0.5,0.8,44.67,19.41,-1120.08,-0.35,1
145,69.77,0.47,0.8,76.41,24.71,-1110.94,-0.39,7
152,84.14,0.2,0.8,51.91,18.05,-1108.92,-0.3,7
155,76.94,0.49,0.8,46.46,6.55,-1079.19,-0.09,3
164,70.19,0.49,0.8,83.98,25.99,-1111.34,-0.27,9
169,74.01,0.51,0.8,48.82,20.34,-1081.59,-0.09,5
180,70.99,0.49,0.8,60.8,22.11,-1099.64,-0.29,11
185,69.46,0.3,0.8,46.16,15.26,-1127.93,-0.29,5
192,74.9,0.37,0.8,49.98,19.86,-1082.28,-0.09,7
201,69.83,0.47,0.8,78.38,25.04,-1108.13,-0.28,9
202,71.81,0.51,0.8,49.58,20.24,-1099.16,-0.28,1
203,70.37,0.46,0.8,52.91,20.77,-1119.6,-0.4,1
210,77.96,0.26,0.8,47.17,15.05,-1085.78,-0.08,7
211,69.7,0.47,0.8,81.15,25.5,-1120.16,-0.36,1
219,67.18,0.44,0.8,45.55,22.37,-1134.37,-0.06,8
220,69.04,0.45,0.8,48.95,16.51,-1247.54,-0.08,1
227,79.12,0.45,0.8,47.66,20.95,-1102.06,-0.62,7
